Time (s),Current (A),Voltage(V)
0.4240245819,-2.9996132851,3.8580236435
1.4230818748,-2.9996390343,3.8313114643
2.4231390953,-2.9996502399,3.8179657459
3.4231958389,-2.9996798038,3.8079826832
4.4232530594,-2.9996976852,3.7996747494
5.4233102798,-2.9997017384,3.7924478054
6.4233675003,-2.9996917248,3.7858974934
7.4234247208,-2.9996991158,3.7798860073
8.4234819412,-2.9997069836,3.774320364
9.4235391617,-2.9997076988,3.7690610886
10.4235963821,-2.9997160435,3.764084816
11.4236536026,-2.9997081757,3.7593812943
12.4237108231,-2.9997060299,3.7548868656
13.4237680435,-2.9997165203,3.7505719662
14.423825264,-2.9997398853,3.7464108467
15.4238824844,-2.999727726,3.7424373627
16.4239397049,-2.9997365475,3.7385878563
17.4239969254,-2.9997200966,3.7348740101
18.4240541458,-2.9997205734,3.7312734127
19.4231114388,-2.9997251034,3.7278130054
20.4231686592,-2.9997293949,3.7244298458
21.4232258797,-2.9997358322,3.7211313248
22.4232831001,-2.9997384548,3.7179746628
23.4233398438,-2.9997315407,3.7148735523
24.4233970642,-2.9997470379,3.7118668556
25.4234542847,-2.9997413158,3.7089047432
26.4235115051,-2.9997372627,3.7060501575
27.4235687256,-2.999724865,3.7032592297
28.423625946,-2.999724865,3.7005209923
29.4236831665,-2.9997143745,3.6978685856
30.423740387,-2.9997167587,3.6952791214
31.4237976074,-2.9997344017,3.6927149296
32.4238548279,-2.9997389317,3.6901934147
33.4239120483,-2.999727726,3.6877813339
34.4239692688,-2.9997406006,3.6853573322
35.4240264893,-2.9997239113,3.6830093861
36.4230837822,-2.9997377396,3.6806952953
37.4231410027,-2.9997205734,3.6784303188
38.4231982231,-2.9997274876,3.6761956215
39.4232554436,-2.9997437,3.6739904881
40.423312664,-2.9997143745,3.6718327999
41.4233698845,-2.9997389317,3.669699192
42.4234266281,-2.9997317791,3.667583704
43.4234838486,-2.9997131824,3.6655228138
44.423541069,-2.9997239113,3.6634838581
45.4235982895,-2.9997451305,3.6614611149
46.4236555099,-2.9997293949,3.6594839096
47.4237127304,-2.9997260571,3.657501936
48.4237699509,-2.9997253418,3.6555604935
49.4238271713,-2.9997324944,3.6536431313
50.4238843918,-2.9997291565,3.6517429352
51.4239416122,-2.9997303486,3.6498749256
52.4239988327,-2.9997136593,3.6480073929
53.4240560532,-2.999724865,3.6461834908
54.4231128693,-2.9997212887,3.6443586349
55.4231705666,-2.9997265339,3.6425766945
56.4232273102,-2.9997239113,3.6407692432
57.4232850075,-2.9997301102,3.6390128136
58.4233417511,-2.9997282028,3.6372802258
59.4233994484,-2.9997265339,3.6355323792
60.423456192,-2.9997265339,3.6338126659
61.4235138893,-2.999730587,3.6321234703
62.4235706329,-2.9997293949,3.6304349899
63.4236278534,-2.9997198582,3.6287739277
64.4236850739,-2.9997308254,3.6271276474
65.4237422943,-2.9997365475,3.6255016327
66.4237990379,-2.9997317791,3.6238694191
67.4238567352,-2.9997336864,3.6222681999
68.4239134789,-2.9997470379,3.6206510067
69.4239711761,-2.9997274876,3.619104147
70.4240279198,-2.9997494221,3.6175448895
71.4230856895,-2.9997389317,3.6160001755
72.4231424332,-2.9997377396,3.6144869328
73.4232001305,-2.999733448,3.6129770279
74.4232568741,-2.9997425079,3.6114802361
75.4233145714,-2.9997460842,3.6099984646
76.423371315,-2.9997427464,3.6085207462
77.4234290123,-2.9997222424,3.607077837
78.4234857559,-2.9997401237,3.605653286
79.4235434532,-2.9997355938,3.6042304039
80.4236001968,-2.9997446537,3.6028261185
81.4236578941,-2.9997363091,3.6014370918
82.4237146378,-2.9997506142,3.6000714302
83.4237718582,-2.9997384548,3.5987284184
84.4238290787,-2.9997506142,3.5973827839
85.4238862991,-2.9997506142,3.5960288048
86.4239430428,-2.9997344017,3.5947203636
87.4240007401,-2.9997363091,3.5933971405
88.4240574837,-2.9997472763,3.5921053886
89.4231147766,-2.9997377396,3.5908350945
90.4231719971,-2.999724865,3.5895519257
91.4232292175,-2.9997315407,3.5882937908
92.423286438,-2.99974823,3.5870366096
93.4233436584,-2.9997332096,3.5858259201
94.4234008789,-2.9997332096,3.5845830441
95.4234580994,-2.9997274876,3.5834026337
96.4235153198,-2.9997196198,3.5821914673
97.4235725403,-2.9997322559,3.5810167789
98.4236297607,-2.9997246265,3.5798285007
99.4236869812,-2.9997296333,3.5786466599
100.4237442017,-2.999735117,3.5774888992
101.4238014221,-2.9997344017,3.5763542652
102.4238586426,-2.9997370243,3.5752182007
103.423915863,-2.9997401237,3.5740640163
104.4239730835,-2.999735117,3.572947979
105.4240298271,-2.9997417927,3.5718474388
106.4230871201,-2.9997456074,3.5707316399
107.4231443405,-2.9997441769,3.5696396828
108.423201561,-2.9997456074,3.5685482025
109.4232587814,-2.9997446537,3.5674657822
110.4233160019,-2.9997560978,3.5663943291
111.4233732224,-2.9997551441,3.5653328896
112.4234304428,-2.9997370243,3.5642809868
113.4234876633,-2.9997389317,3.5632252693
114.4235448837,-2.999727726,3.562183857
115.4236021042,-2.9997498989,3.5611441135
116.4236593246,-2.9997596741,3.5601067543
117.4237165451,-2.9997646809,3.5591025352
118.4237737656,-2.9997522831,3.5580809116
119.423830986,-2.9997565746,3.5570604801
120.4238882065,-2.9997711182,3.5560452938
121.4239454269,-2.9997551441,3.5550606251
122.4240026474,-2.9997563362,3.554063797
123.4240598679,-2.999756813,3.5530583858
124.423116684,-2.9997465611,3.5520620346
