Time (s),Current (A),Voltage(V)
0.4310250282,-2.9996159077,3.8661799431
1.4310817719,-2.9996054173,3.8410871029
2.4311394691,-2.9996187687,3.828315258
3.4311962128,-2.9996502399,3.8187670708
4.4312539101,-2.9996557236,3.8108391762
5.4313106537,-2.9996700287,3.803882122
6.431368351,-2.9996995926,3.7976031303
7.4314250946,-2.9996922016,3.7918167114
8.4304823875,-2.9996960163,3.7864363194
9.430539608,-2.9996845722,3.7813301086
10.4305968285,-2.9996962547,3.776515007
11.4306535721,-2.9996964931,3.7719187737
12.4307112694,-2.9997045994,3.767560482
13.430768013,-2.9997220039,3.7633519173
14.4308257103,-2.9997019768,3.7593147755
15.4308824539,-2.9997158051,3.7554242611
16.4309401512,-2.9996957779,3.7516727448
17.4309968948,-2.9997220039,3.7480199337
18.4310545921,-2.9997205734,3.7445192337
19.4311113358,-2.9997239113,3.7411043644
20.4311690331,-2.9997029305,3.7378082275
21.4312257767,-2.9997200966,3.7345998287
22.431283474,-2.9997062683,3.7314724922
23.4313402176,-2.9997143745,3.7284555435
24.4313979149,-2.9997143745,3.7254934311
25.430454731,-2.9997193813,3.7226128578
26.4305119514,-2.999714613,3.719835043
27.4305691719,-2.9997122288,3.7171020508
28.4306263924,-2.999712944,3.7144095898
29.4306836128,-2.9997344017,3.7118191719
30.4307408333,-2.999712944,3.7092318535
31.4307975769,-2.9997141361,3.7067272663
32.4308547974,-2.9997358322,3.7042710781
33.4309120178,-2.999714613,3.7018549442
34.4309692383,-2.9997091293,3.6994626522
35.4310264587,-2.9997084141,3.6971225739
36.4310836792,-2.9997160435,3.6948149204
37.4311408997,-2.9997282028,3.692561388
38.4311981201,-2.9997184277,3.6903133392
39.4312553406,-2.9997005463,3.6881144047
40.431312561,-2.9996948242,3.6859238148
41.4313697815,-2.9997098446,3.6837697029
42.431427002,-2.9997155666,3.681637764
43.4304842949,-2.9997158051,3.6795270443
44.4305415154,-2.999712944,3.6774439812
45.4305987358,-2.9997270107,3.6753742695
46.4306559563,-2.9997391701,3.6733248234
47.4307131767,-2.9997096062,3.6713118553
48.4307703972,-2.9997167587,3.6693153381
49.4308276176,-2.9997150898,3.6673147678
50.4308848381,-2.9997076988,3.6653599739
51.4309415817,-2.9996991158,3.6634290218
52.4309988022,-2.9997127056,3.66147089
53.4310560226,-2.999704361,3.6595790386
54.4311132431,-2.9997117519,3.6576793194
55.4311704636,-2.9997112751,3.6557996273
56.431227684,-2.9997153282,3.6539494991
57.4312849045,-2.9997205734,3.652097702
58.4313421249,-2.9997155666,3.650267601
59.4313993454,-2.9997096062,3.648458004
60.4304566383,-2.9997029305,3.6466662884
61.4305138588,-2.9997153282,3.644888401
62.4305710793,-2.9997086525,3.6431136131
