Time (s),Current (A),Voltage(V)
0.4340248108,-2.9995951653,3.8664972782
1.4340820313,-2.9995849133,3.841108799
2.4341392517,-2.9996125698,3.8283400536
3.4341964722,-2.9996192455,3.8187842369
4.4342536926,-2.9996407032,3.8108298779
5.4343104362,-2.9996459484,3.8038873672
6.4343676567,-2.9996671677,3.7976081371
7.4344248772,-2.9996798038,3.7918031216
8.4344820976,-2.999689579,3.7864158154
9.4335393906,-2.9996876717,3.7813279629
10.433596611,-2.9996881485,3.7765007019
11.4336538315,-2.9997019768,3.771936655
12.4337110519,-2.9996995926,3.7675480843
13.4337682724,-2.9997029305,3.7633459568
14.4338254929,-2.9997153282,3.7593016624
15.4338827133,-2.9997034073,3.7554092407
16.4339399338,-2.9997041225,3.7516431808
17.4339971542,-2.999694109,3.7480034828
18.4340543747,-2.9996993542,3.7444968224
19.4341115952,-2.9996905327,3.7410805225
20.4341688156,-2.9997057915,3.7377915382
21.4342260361,-2.9997186661,3.7345616817
22.4342832565,-2.9997017384,3.7314519882
23.434340477,-2.999714613,3.7284214497
24.4343972206,-2.9997086525,3.7254891396
25.4344544411,-2.999702692,3.7226090431
26.4345116615,-2.9997036457,3.7198021412
27.4335689545,-2.9996981621,3.7170960903
28.4336261749,-2.9997210503,3.7144043446
29.4336833954,-2.9997076988,3.7117898464
30.4337406158,-2.9996964931,3.7092318535
31.4337978363,-2.9997136593,3.7067220211
32.4338550568,-2.9997098446,3.7042748928
33.4339122772,-2.9997081757,3.7018377781
34.4339694977,-2.9997158051,3.6994600296
35.4340267181,-2.9996948242,3.6971199512
36.4340839386,-2.9997186661,3.694832325
37.4341411591,-2.9997115135,3.6925449371
38.4341983795,-2.9997127056,3.6903028488
39.4342556,-2.999730587,3.6880726814
40.4343128204,-2.9997205734,3.685895443
41.4343700409,-2.9997124672,3.6837434769
42.4344272614,-2.999704361,3.6816198826
43.4344844818,-2.9997022152,3.6795172691
44.4335412979,-2.9997041225,3.6774187088
45.4335985184,-2.9996948242,3.6753640175
46.4336557388,-2.9997029305,3.6733052731
47.4337129593,-2.9997069836,3.6712808609
48.4337701797,-2.9996905327,3.669282198
49.4338274002,-2.9997050762,3.6672997475
50.4338846207,-2.9996798038,3.6653370857
51.4339418411,-2.9996840954,3.6633837223
52.4339990616,-2.9996967316,3.6614515781
53.434056282,-2.9996964931,3.6595454216
54.4341135025,-2.9996931553,3.6576499939
55.434170723,-2.9996972084,3.6557753086
56.4342279434,-2.9997017384,3.6538946629
57.4342851639,-2.9996857643,3.6520633698
58.4343423843,-2.9996953011,3.6502170563
59.4343996048,-2.9997029305,3.6484005451
60.4344568253,-2.9996931553,3.6466164589
61.4345140457,-2.9997186661,3.6448292732
62.4335708618,-2.9996995926,3.6430623531
63.4336280823,-2.9996936321,3.6412909031
64.4336853027,-2.9997086525,3.6395785809
65.4337425232,-2.9997141361,3.6378538609
66.4337997437,-2.9997022152,3.6361501217
67.4338569641,-2.9997022152,3.6344895363
68.4339141846,-2.9997234344,3.6328063011
69.433971405,-2.999702692,3.6311523914
70.4340286255,-2.9997141361,3.629524231
71.4340858459,-2.9997220039,3.627907753
72.4341430664,-2.9997196198,3.6263012886
73.4342002869,-2.9997141361,3.6247293949
74.4342575073,-2.9997341633,3.6231503487
75.4343147278,-2.999723196,3.6215951443
76.4343719482,-2.9997169971,3.620061636
77.4344291687,-2.999724865,3.6185517311
78.4344863892,-2.999724865,3.6170437336
79.4335432053,-2.9997115135,3.6155574322
80.4336004257,-2.9997241497,3.6140742302
81.4336576462,-2.9997262955,3.6126196384
82.4337148666,-2.9997234344,3.6112024784
83.4337720871,-2.9997158051,3.60978055
84.4338293076,-2.9997274876,3.6083652973
85.4338860512,-2.9997282028,3.6069767475
86.4339437485,-2.9997239113,3.605602026
87.4340004921,-2.9997160435,3.6042532921
88.4340581894,-2.9997124672,3.6028909683
89.434114933,-2.9997205734,3.6015610695
90.4341726303,-2.9997270107,3.6002416611
91.4342293739,-2.9997346401,3.5989465714
92.4342870712,-2.9997282028,3.59765172
93.4343438148,-2.9997220039,3.5963881016
94.4344015121,-2.9997239113,3.5951180458
95.4344582558,-2.9997303486,3.5938904285
96.4345159531,-2.9997365475,3.5926630497
97.4335727692,-2.9997255802,3.5914442539
98.4336304665,-2.9997384548,3.5902359486
99.4336872101,-2.9997286797,3.5890445709
100.4337444305,-2.9997317791,3.5878407955
101.433801651,-2.9997336864,3.5866551399
102.4338588715,-2.9997296333,3.5854825974
103.4339160919,-2.9997460842,3.5843172073
104.4339733124,-2.9997375011,3.5831902027
105.434030056,-2.9997391701,3.582044363
106.4340877533,-2.9997484684,3.5809206963
107.4341444969,-2.9997291565,3.5798077583
108.4342021942,-2.9997375011,3.5787069798
109.4342589378,-2.9997386932,3.5776154995
110.4343166351,-2.999745369,3.5765116215
111.4343733788,-2.9997403622,3.5754275322
112.434431076,-2.9997451305,3.5743677616
113.4344878197,-2.9997606277,3.5732991695
114.4335451126,-2.999745369,3.572250843
115.4336023331,-2.9997355938,3.5711994171
116.4336595535,-2.9997372627,3.5701546669
117.433716774,-2.9997346401,3.5691249371
118.4337739944,-2.9997315407,3.5680925846
119.4338312149,-2.9997410774,3.5670888424
120.4338884354,-2.9997425079,3.5660624504
121.4339456558,-2.9997498989,3.5650315285
122.4340028763,-2.9997262955,3.5640313625
123.4340596199,-2.9997282028,3.5630307198
124.4341168404,-2.9997336864,3.56204319
125.4341740608,-2.9997470379,3.5610496998
126.4342312813,-2.9997425079,3.5600588322
127.4342885017,-2.9997215271,3.5590822697
128.4343457222,-2.9997279644,3.5580961704
129.4344029427,-2.9997372627,3.5571374893
130.4344601631,-2.9997310638,3.5561490059
131.4345173836,-2.9997451305,3.5551838875
132.4335746765,-2.9997470379,3.5542378426
133.433631897,-2.99974823,3.5532758236
134.4336891174,-2.9997391701,3.5523209572
135.4337463379,-2.9997303486,3.5513780117
136.4338035583,-2.9997501373,3.5504393578
137.4338607788,-2.9997522831,3.5494806767
138.4339179993,-2.9997415543,3.5485765934
139.4339752197,-2.9997475147,3.5476467609
140.4340324402,-2.9997515678,3.5467131138
141.4340896606,-2.9997553825,3.5457851887
142.4341468811,-2.9997398853,3.5448613167
143.4342036247,-2.999730587,3.5439479351
144.4342608452,-2.9997282028,3.5430169106
145.4343180656,-2.9997391701,3.5421135426
146.4343752861,-2.9997575283,3.5412282944
147.4344325066,-2.999751091,3.5403177738
148.434489727,-2.9997596741,3.5394084454
149.43354702,-2.999756813,3.5385122299
150.4336042404,-2.9997594357,3.5376138687
