Time (s),Current (A),Voltage(V)
0.4270243645,-2.9996156693,3.8427476883
1.4270815849,-2.9996302128,3.8136355877
2.4271388054,-2.9996268749,3.7992568016
3.4271960258,-2.9996526241,3.7884914875
4.4272532463,-2.999671936,3.7795875072
5.4273104668,-2.9996840954,3.7718098164
6.4263672829,-2.999686718,3.7648224831
7.4264245033,-2.9996907711,3.7583963871
8.4264817238,-2.9997193813,3.7524235249
9.4265389442,-2.9997057915,3.7468216419
10.4265961647,-2.9996948242,3.7415111065
11.4266533852,-2.9997122288,3.7364916801
12.4267106056,-2.9997048378,3.7316930294
13.4267678261,-2.999712944,3.7271325588
14.4268250465,-2.9997019768,3.7227387428
15.426882267,-2.9997215271,3.7185118198
16.4269394875,-2.9997098446,3.7144362926
17.4269967079,-2.9997138977,3.710517168
18.4270539284,-2.9997320175,3.7067303658
19.4271111488,-2.9997165203,3.703066349
20.4271683693,-2.9997372627,3.6994948387
21.4272255898,-2.999724865,3.6960425377
22.4272828102,-2.9997413158,3.6926774979
23.4273400307,-2.999714613,3.6894364357
24.4263968468,-2.9997205734,3.6862771511
25.4264540672,-2.999730587,3.6831769943
26.4265112877,-2.9997220039,3.6801636219
27.4265685081,-2.9997286797,3.677223444
28.4266257286,-2.9997296333,3.6743571758
29.4266824722,-2.9997310638,3.6715562344
30.4267401695,-2.9997324944,3.6688017845
31.4267969131,-2.9997279644,3.6661140919
32.4268546104,-2.9997322559,3.6634905338
33.4269113541,-2.9997432232,3.6609249115
34.4269690514,-2.999751091,3.6583797932
35.427025795,-2.9997253418,3.6559042931
36.4270834923,-2.9997322559,3.65345788
37.4271402359,-2.9997320175,3.6510765553
38.4271979332,-2.9997348785,3.6487190723
39.4272546768,-2.9997386932,3.6463871002
40.4273123741,-2.9997315407,3.6441318989
41.4263691902,-2.999723196,3.6418821812
42.4264268875,-2.9997253418,3.6396815777
43.4264836311,-2.9997315407,3.6374819279
44.4265408516,-2.9997310638,3.6353390217
45.4265980721,-2.9997165203,3.6332089901
46.4266552925,-2.9997208118,3.6311304569
47.426712513,-2.9997055531,3.6290655136
48.4267697334,-2.9997196198,3.6270251274
49.4268264771,-2.9997122288,3.6250042915
50.4268841743,-2.9996898174,3.6230125427
51.426940918,-2.9997138977,3.6210319996
52.4269986153,-2.9997169971,3.6191055775
53.4270553589,-2.9997076988,3.6171805859
54.4271130562,-2.9997007847,3.6152820587
55.4271697998,-2.9997045994,3.6134030819
