Time (s),Current (A),Voltage(V)
0.4270243645,-2.9996275902,3.7973415852
1.4270815849,-2.9996321201,3.7600979805
2.4271388054,-2.9996371269,3.7421402931
3.4271960258,-2.9996802807,3.7288467884
4.4272532463,-2.9996840954,3.7178966999
5.4273104668,-2.9996845722,3.7084188461
6.4273676872,-2.9997172356,3.6999237537
7.4274249077,-2.9997239113,3.6921637058
8.4264822006,-2.9997069836,3.6850042343
9.4265394211,-2.9997191429,3.6783456802
10.4265966415,-2.9997179508,3.6720569134
11.426653862,-2.9997127056,3.6661233902
12.4267110825,-2.9997153282,3.6604852676
13.4267683029,-2.9997396469,3.6550958157
14.4268255234,-2.9997222424,3.6499919891
15.4268827438,-2.9997241497,3.6450657845
16.4269394875,-2.9997265339,3.6403300762
17.4269967079,-2.9997360706,3.6357729435
18.4270539284,-2.9997498989,3.6313605309
19.4271111488,-2.999755621,3.6270980835
20.4271683693,-2.9997437,3.6229586601
21.4272255898,-2.9997487068,3.6189506054
22.4272828102,-2.9997386932,3.6150403023
23.4273400307,-2.9997246265,3.6112554073
24.4273972511,-2.9997527599,3.6075425148
25.4264545441,-2.9997501373,3.6039233208
26.4265117645,-2.9997467995,3.6003713608
27.426568985,-2.9997348785,3.5969059467
28.4266262054,-2.9997291565,3.5935304165
29.4266834259,-2.9997322559,3.5902068615
30.4267406464,-2.9997479916,3.5869297981
31.4267978668,-2.9997320175,3.5837330818
32.4268550873,-2.9997529984,3.5805802345
33.4269123077,-2.9997560978,3.5774877071
34.4269695282,-2.9997446537,3.5744366646
35.4270267487,-2.999724865,3.571434021
36.4270834923,-2.9997465611,3.5684862137
37.4271407127,-2.9997270107,3.5655696392
38.4271979332,-2.9997413158,3.5626928806
39.4272551537,-2.9997565746,3.5598852634
40.4273123741,-2.9997472763,3.5570960045
41.4273695946,-2.9997491837,3.5543625355
42.427426815,-2.9997487068,3.5516626835
43.426484108,-2.9997315407,3.5489859581
44.4265408516,-2.9997375011,3.5463478565
45.4265985489,-2.99974823,3.5437557697
46.4266552925,-2.999723196,3.5412092209
47.4267129898,-2.9997270107,3.5386829376
48.4267697334,-2.9997341633,3.5362043381
49.4268274307,-2.9997262955,3.5337307453
50.4268841743,-2.9997382164,3.5313224792
51.4269418716,-2.9997286797,3.5289413929
52.4269986153,-2.9997360706,3.526558876
53.4270563126,-2.9997224808,3.5242266655
54.4271130562,-2.9997262955,3.5219357014
55.4271707535,-2.999723196,3.5196609497
56.4272274971,-2.9997320175,3.51739645
57.4272847176,-2.9997513294,3.5151953697
58.427341938,-2.9997375011,3.5130126476
59.4273991585,-2.9997384548,3.5108468533
60.4264559746,-2.9997346401,3.5087227821
61.4265136719,-2.9997234344,3.506626606
62.4265704155,-2.9997234344,3.5045423508
63.4266281128,-2.9997241497,3.5024783611
64.4266848564,-2.999733448,3.5004446507
65.4267425537,-2.9997472763,3.4984269142
66.4267992973,-2.9997332096,3.4964394569
67.4268569946,-2.9997179508,3.4944922924
68.4269137383,-2.9997425079,3.4925541878
69.4269714355,-2.9997470379,3.4906079769
70.4270281792,-2.9997329712,3.4887280464
