Time (s),Current (A),Voltage(V)
0.4310250282,-2.9996049404,3.8530347347
1.4310822487,-2.9995961189,3.825605154
2.4311394691,-2.9996371269,3.8119454384
3.4311966896,-2.9996426105,3.8017253876
4.4312539101,-2.9996817112,3.7932360172
5.4313111305,-2.9996776581,3.7858045101
6.431368351,-2.9996755123,3.7791092396
7.4314255714,-2.9996781349,3.7729754448
8.4314827919,-2.9996964931,3.7672393322
9.4315400124,-2.9996857643,3.7618610859
10.4315972328,-2.9997074604,3.756788969
11.4316544533,-2.9996864796,3.7519805431
12.4317111969,-2.9996953011,3.7473647594
13.4317684174,-2.9997036457,3.7429597378
14.4318256378,-2.9996855259,3.7387166023
15.4318828583,-2.9996886253,3.7346513271
16.4309401512,-2.9997167587,3.7306990623
17.4309973717,-2.9997045994,3.7269313335
18.4310545921,-2.9997098446,3.7232522964
19.4311118126,-2.9996974468,3.7196826935
20.4311690331,-2.9997055531,3.7162368298
21.4312262535,-2.9997014999,3.7128899097
22.431283474,-2.9996950626,3.7096517086
23.4313406944,-2.9997136593,3.7064726353
24.4313979149,-2.9997143745,3.7033896446
25.4314551353,-2.9997096062,3.7003829479
26.4315123558,-2.999707222,3.6974685192
27.4315695763,-2.9997212887,3.6946053505
28.4316267967,-2.9997241497,3.6918275356
29.4316840172,-2.9997186661,3.6890947819
30.4317412376,-2.9997112751,3.6864142418
31.4317984581,-2.9997136593,3.6837909222
32.4318552017,-2.9997055531,3.6812431812
33.4309124947,-2.9997084141,3.6787464619
34.4309697151,-2.9997198582,3.6762752533
35.4310269356,-2.9997062683,3.6738767624
36.431084156,-2.9996967316,3.6714918613
37.4311413765,-2.9997138977,3.6691689491
38.431198597,-2.9997005463,3.6668527126
39.4312558174,-2.9997127056,3.6645958424
40.4313130379,-2.9997081757,3.662386179
41.4313702583,-2.9997069836,3.6602106094
42.4314274788,-2.9997124672,3.6580564976
43.4314846992,-2.9997208118,3.6559290886
44.4315419197,-2.9997169971,3.6538362503
45.4315991402,-2.9997315407,3.6517632008
46.4316563606,-2.9997186661,3.6497189999
47.4317135811,-2.9997274876,3.6477174759
48.4317708015,-2.9997143745,3.6457355022
49.431828022,-2.9997160435,3.6437747478
50.4318852425,-2.9997091293,3.6418337822
51.4309420586,-2.9996957779,3.6399102211
52.430999279,-2.9997012615,3.6379945278
53.4310564995,-2.9996912479,3.6361296177
54.4311137199,-2.9996995926,3.6342656612
55.4311709404,-2.9996993542,3.6324276924
56.4312281609,-2.9997022152,3.6306128502
57.4312853813,-2.9996907711,3.6288204193
58.4313426018,-2.9996936321,3.6270356178
59.4313998222,-2.9997031689,3.6252598763
60.4314570427,-2.9996936321,3.62353158
61.4315142632,-2.9997041225,3.6218166351
62.4315714836,-2.9997124672,3.6200900078
63.4316287041,-2.999704361,3.6184077263
64.4316859245,-2.9996981621,3.6167275906
65.431743145,-2.9997110367,3.6150641441
66.4318003654,-2.9997115135,3.6134352684
67.4318575859,-2.9997227192,3.6118147373
68.430914402,-2.9997112751,3.6102187634
69.4309716225,-2.9997200966,3.6086337566
70.4310288429,-2.9997165203,3.6070477962
71.4310860634,-2.9997184277,3.605512619
72.4311432838,-2.9997169971,3.6039726734
73.4312000275,-2.9997138977,3.6024496555
74.4312577248,-2.999723196,3.6009476185
75.4313144684,-2.9997041225,3.5994508266
76.4313721657,-2.9997198582,3.5979893208
77.4314289093,-2.9996988773,3.5965352058
78.4314866066,-2.9996993542,3.5951008797
79.4315433502,-2.9997036457,3.5936737061
80.4316010475,-2.9997086525,3.5922551155
81.4316577911,-2.9997153282,3.5908648968
82.4317154884,-2.999723196,3.5894732475
83.4317722321,-2.9997198582,3.5881307125
84.4318299294,-2.9997181892,3.5867645741
85.4308867455,-2.9997193813,3.5854263306
86.4309444427,-2.9997227192,3.5840969086
87.4310011864,-2.9997167587,3.5827867985
88.4310584068,-2.9997136593,3.5815010071
89.4311156273,-2.9997057915,3.5802249908
90.4311728477,-2.9997196198,3.5789363384
91.4312300682,-2.9997181892,3.5776877403
92.4312872887,-2.9997177124,3.5764579773
93.4313440323,-2.9997067451,3.5752286911
94.4314017296,-2.9996986389,3.5740110874
95.4314584732,-2.9997036457,3.5728018284
96.4315161705,-2.9997045994,3.5715889931
97.4315729141,-2.9997060299,3.5703880787
98.4316306114,-2.9997136593,3.5692026615
99.431687355,-2.9997200966,3.5680520535
100.4317450523,-2.9997234344,3.5668830872
101.431801796,-2.9997160435,3.5657248497
102.4318594933,-2.9997177124,3.5645780563
103.4309163094,-2.9996948242,3.5634446144
104.4309735298,-2.9997110367,3.5623202324
105.4310307503,-2.9997253418,3.5611994267
106.4310879707,-2.999707222,3.5600917339
107.4311451912,-2.9997138977,3.5589988232
108.4312024117,-2.9997160435,3.5579133034
109.4312596321,-2.9997241497,3.5568153858
110.4313168526,-2.9997141361,3.5557529926
111.4313735962,-2.9997196198,3.5546607971
112.4314308167,-2.9997253418,3.5536022186
113.4314880371,-2.9997222424,3.5525398254
114.4315452576,-2.9997186661,3.5515010357
115.431602478,-2.9997155666,3.5504555702
116.4316596985,-2.9997308254,3.5494017601
117.4317169189,-2.9997332096,3.5483715534
118.4317741394,-2.9997138977,3.5473489761
