Time (s),Current (A),Voltage(V)
0.4240245819,-2.999620676,3.7942163944
1.4240813255,-2.9996123314,3.7560544014
2.4241390228,-2.9996623993,3.7376980782
3.4241957664,-2.9996752739,3.7241716385
4.4242534637,-2.9996948242,3.7130584717
5.4243102074,-2.999694109,3.7034740448
6.4233675003,-2.9997143745,3.6949470043
7.4234247208,-2.9997117519,3.6871676445
8.4234819412,-2.9997103214,3.6800186634
9.4235391617,-2.9996993542,3.6733255386
10.4235963821,-2.9997103214,3.6670770645
11.4236536026,-2.9997208118,3.6611940861
12.4237108231,-2.9997084141,3.6555919647
13.4237680435,-2.9997308254,3.6502783298
14.4238247871,-2.9997291565,3.6451821327
15.4238820076,-2.9997286797,3.640327692
16.4239392281,-2.9997117519,3.6356577873
17.4239964485,-2.9997332096,3.6311643124
18.424053669,-2.9997205734,3.6267907619
19.4241108894,-2.9997286797,3.6225907803
20.4241681099,-2.9997234344,3.6185181141
21.4242253304,-2.9997537136,3.6145601273
22.4242825508,-2.9997341633,3.6107041836
23.4243397713,-2.9997417927,3.6069509983
24.4233970642,-2.9997315407,3.6032845974
25.4234542847,-2.9997401237,3.5997149944
26.4235115051,-2.99974823,3.5962159634
27.4235687256,-2.9997386932,3.5927841663
28.423625946,-2.9997389317,3.5894572735
29.4236831665,-2.9997451305,3.5861580372
30.423740387,-2.9997322559,3.5829267502
31.4237976074,-2.9997432232,3.5797479153
32.4238548279,-2.9997637272,3.5766103268
33.4239120483,-2.9997417927,3.5735433102
34.423968792,-2.9997341633,3.5705299377
35.4240260124,-2.9997694492,3.5675652027
36.4240832329,-2.9997391701,3.5646352768
37.4241404533,-2.9997396469,3.5617566109
38.4241976738,-2.9997522831,3.5589292049
39.4242548943,-2.9997403622,3.5561230183
40.4243121147,-2.9997401237,3.5533685684
41.4233694077,-2.9997398853,3.5506486893
42.4234266281,-2.9997487068,3.5479707718
43.4234838486,-2.9997441769,3.545331955
44.423541069,-2.9997322559,3.5427043438
45.4235982895,-2.9997289181,3.5401451588
46.4236555099,-2.9997386932,3.5376002789
47.4237127304,-2.9997236729,3.5350863934
48.4237699509,-2.9997344017,3.532610178
49.4238271713,-2.9997439384,3.5301706791
50.4238843918,-2.9997296333,3.5277585983
51.4239416122,-2.9997441769,3.525365591
52.4239988327,-2.9997246265,3.523026228
53.4240555763,-2.999727726,3.5207035542
54.4241127968,-2.9997186661,3.5184085369
55.4241700172,-2.9997212887,3.5161371231
56.4242272377,-2.9997513294,3.5139067173
57.4242844582,-2.9997432232,3.5116999149
58.4243416786,-2.9997487068,3.5095031261
59.4233989716,-2.9997451305,3.5073487759
60.423456192,-2.9997429848,3.5052065849
61.4235134125,-2.9997375011,3.5031087399
62.4235706329,-2.9997301102,3.5010104179
63.4236278534,-2.9997253418,3.498947382
64.4236850739,-2.9997296333,3.4969215393
65.4237422943,-2.9997262955,3.4949138165
66.4237995148,-2.9997315407,3.4929225445
67.4238567352,-2.9997241497,3.4909601212
68.4239139557,-2.9997172356,3.4890105724
69.4239711761,-2.9997427464,3.487080574
70.4240283966,-2.9997324944,3.4851579666
71.4240856171,-2.9997439384,3.4832658768
72.4241428375,-2.9997291565,3.4814221859
73.4241995811,-2.9997215271,3.4795610905
74.4242568016,-2.9997186661,3.4777219296
75.4243140221,-2.9997529984,3.4758863449
76.423371315,-2.9997441769,3.4741094112
77.4234285355,-2.9997491837,3.4723241329
78.4234857559,-2.999758482,3.4705717564
79.4235429764,-2.9997322559,3.4688234329
80.4236001968,-2.9997358322,3.4670915604
81.4236574173,-2.9997541904,3.4653654099
82.4237146378,-2.9997391701,3.4636609554
83.4237718582,-2.9997415543,3.4619789124
84.4238290787,-2.9997498989,3.460318327
85.4238862991,-2.9997546673,3.4586606026
86.4239435196,-2.9997541904,3.4570329189
87.4240007401,-2.9997563362,3.4553973675
88.4240579605,-2.9997575283,3.4537818432
89.424115181,-2.9997646809,3.4521918297
90.4241724014,-2.9997651577,3.4506075382
91.4242296219,-2.9997553825,3.4490323067
92.4242868423,-2.9997704029,3.4474732876
93.424343586,-2.9997618198,3.4459214211
94.4234008789,-2.9997594357,3.4444007874
95.4234580994,-2.999771595,3.4428751469
96.4235153198,-2.9997711182,3.4413683414
97.4235725403,-2.9997630119,3.4398624897
98.4236297607,-2.9997565746,3.4383795261
99.4236869812,-2.9997484684,3.4369060993
100.4237442017,-2.999768734,3.4354448318
101.4238014221,-2.999771595,3.4339725971
102.4238586426,-2.9997591972,3.4325323105
103.423915863,-2.9997501373,3.4310872555
104.4239730835,-2.9997699261,3.4296634197
105.424030304,-2.9997589588,3.4282698631
106.4240875244,-2.999777317,3.4268531799
107.4241447449,-2.9997742176,3.4254488945
108.4242019653,-2.9997837543,3.4240882397
109.4242591858,-2.9997680187,3.4227116108
110.4243164063,-2.9997837543,3.4213263988
111.4233732224,-2.9997768402,3.4199612141
112.4234304428,-2.9997799397,3.4186193943
113.4234876633,-2.9997835159,3.4172868729
114.4235444069,-2.9997811317,3.4159708023
115.4236021042,-2.9997689724,3.4146573544
116.4236588478,-2.9997770786,3.4133365154
117.4237165451,-2.9997649193,3.4120237827
118.4237732887,-2.9997487068,3.4107339382
119.423830986,-2.9997553825,3.4094436169
120.4238877296,-2.9997677803,3.4081640244
121.4239454269,-2.9997639656,3.4069082737
122.4240021706,-2.9997651577,3.4056389332
123.4240598679,-2.9997656345,3.4043772221
124.4241166115,-2.999765873,3.4031348228
125.4241743088,-2.999771595,3.4019007683
126.4242310524,-2.9997661114,3.4006512165
127.4242887497,-2.999771595,3.3994216919
128.4243454933,-2.9997529984,3.3982188702
129.4234027863,-2.9997634888,3.3969836235
130.4234600067,-2.9997644424,3.3957867622
131.4235172272,-2.999776125,3.3945817947
132.4235744476,-2.999756813,3.3934102058
133.4236311913,-2.9997651577,3.3922011852
134.4236884117,-2.9997727871,3.3910393715
135.4237456322,-2.9997606277,3.3898534775
136.4238028526,-2.9997427464,3.3886854649
137.4238600731,-2.9997439384,3.3875360489
138.4239172935,-2.9997706413,3.3863756657
139.423974514,-2.9997649193,3.385240078
140.4240317345,-2.9997615814,3.3840909004
141.4240889549,-2.9997706413,3.3829512596
142.4241461754,-2.9997456074,3.3817999363
143.4242033958,-2.9997589588,3.38068223
144.4242606163,-2.9997615814,3.3795650005
145.4243178368,-2.9997727871,3.3784606457
146.4233751297,-2.9997677803,3.3773429394
147.4234323502,-2.9997706413,3.3762483597
148.4234895706,-2.9997589588,3.3751456738
149.4235467911,-2.9997699261,3.3740680218
150.4236040115,-2.9997673035,3.3729813099
151.423661232,-2.9997625351,3.3719117641
152.4237179756,-2.9997527599,3.3708446026
153.4237751961,-2.9997472763,3.369781971
154.4238324165,-2.9997344017,3.36871171
155.423889637,-2.9997522831,3.367667675
156.4239468575,-2.9997522831,3.3666195869
157.4240040779,-2.9997384548,3.365575552
158.4240612984,-2.9997618198,3.3645386696
159.4241185188,-2.9997487068,3.3635103703
160.4241757393,-2.9997541904,3.3624858856
161.4242329597,-2.9997508526,3.361456871
162.4242901802,-2.9997270107,3.3604445457
163.4233474731,-2.9997577667,3.3594353199
164.4234046936,-2.999755621,3.3584055901
165.4234619141,-2.9997718334,3.357396841
166.4235191345,-2.9997563362,3.3564119339
167.423576355,-2.9997677803,3.3554298878
168.4236335754,-2.9997479916,3.3544180393
169.4236907959,-2.9997515678,3.3534359932
170.4237480164,-2.9997563362,3.3524405956
171.4238052368,-2.9997701645,3.3514676094
172.4238619804,-2.9997692108,3.3505005836
173.4239192009,-2.9997680187,3.3495240211
174.4239764214,-2.9997651577,3.3485667706
175.4240336418,-2.9997496605,3.3475987911
176.4240908623,-2.9997520447,3.3466486931
177.4241480827,-2.9997637272,3.3456919193
178.4242053032,-2.9997551441,3.3447525501
179.4242625237,-2.999768734,3.343817234
180.4243197441,-2.9997565746,3.3428900242
181.423377037,-2.9997546673,3.3419585228
182.4234342575,-2.9997677803,3.3410181999
183.423491478,-2.9997718334,3.3400745392
184.4235486984,-2.9997756481,3.3391809464
185.4236059189,-2.9997675419,3.3382649422
186.4236631393,-2.9997611046,3.337351799
187.4237203598,-2.9997713566,3.3364596367
188.4237775803,-2.999776125,3.3355426788
189.4238348007,-2.9997768402,3.3346447945
190.4238920212,-2.9997870922,3.333753109
191.4239492416,-2.9997861385,3.3328540325
192.4240059853,-2.9997727871,3.3319945335
193.4240632057,-2.9997646809,3.3310852051
194.4241204262,-2.9997816086,3.3302128315
195.4241776466,-2.9997775555,3.3293402195
196.4242348671,-2.9997799397,3.3284847736
197.4242920876,-2.999771595,3.3276021481
198.4233493805,-2.9997639656,3.3267531395
199.423406601,-2.9997959137,3.325876236
200.4234638214,-2.9997625351,3.3250257969
201.4235210419,-2.999765873,3.3241760731
202.4235782623,-2.9997842312,3.3233299255
203.4236354828,-2.9997725487,3.3224768639
204.4236927032,-2.9997706413,3.3216512203
205.4237499237,-2.9997646809,3.3208060265
206.4238071442,-2.9997711182,3.3199770451
207.4238643646,-2.9997637272,3.3191595078
208.4239215851,-2.9997742176,3.3183531761
209.4239788055,-2.999768734,3.3175206184
210.424036026,-2.9997570515,3.3167097569
211.4240932465,-2.9997656345,3.3158872128
212.4241499901,-2.999776125,3.3150882721
213.4242072105,-2.9997649193,3.3142905235
214.424264431,-2.9997560978,3.3134796619
215.4243216515,-2.999774456,3.3126792908
216.4233789444,-2.9997820854,3.311870575
217.4234361649,-2.9997563362,3.3110802174
218.4234933853,-2.999776125,3.3102974892
219.4235506058,-2.9997692108,3.3095052242
220.4236078262,-2.9997620583,3.3087346554
221.4236650467,-2.9997730255,3.3079385757
222.4237222672,-2.9997801781,3.3071875572
223.4237794876,-2.9997749329,3.3064095974
224.4238367081,-2.9997885227,3.3056185246
225.4238939285,-2.9997756481,3.304854393
226.423951149,-2.9997704029,3.3041183949
227.4240083694,-2.9997787476,3.3033530712
228.4240655899,-2.9997787476,3.3026080132
229.4241228104,-2.9997644424,3.3018536568
230.4241800308,-2.9997663498,3.3011157513
231.4242367744,-2.9997649193,3.3003673553
232.4242939949,-2.9997611046,3.299633503
233.423350811,-2.9997706413,3.2989094257
234.4234085083,-2.9997732639,3.298166275
235.4234652519,-2.9997596741,3.2974429131
