Time (s),Current (A),Voltage(V)
0.437025547,-2.9996140003,3.8406152725
1.4370827675,-2.9996263981,3.8106076717
2.4371395111,-2.9996328354,3.7960529327
3.4371967316,-2.9996595383,3.7851843834
4.437253952,-2.9996571541,3.7761633396
5.4373111725,-2.9997110367,3.7682995796
6.4373683929,-2.9997000694,3.7612245083
7.4374256134,-2.9996964931,3.7547404766
8.4374828339,-2.9997081757,3.7487132549
9.4375400543,-2.999727726,3.7430624962
10.4375972748,-2.9997167587,3.7377183437
11.4366540909,-2.9997060299,3.7326700687
12.4367117882,-2.9997220039,3.7278466225
13.4367685318,-2.9997208118,3.7232220173
14.4368262291,-2.9997105598,3.7187952995
15.4368829727,-2.9997317791,3.71453619
16.43694067,-2.9997191429,3.7104301453
17.4369974136,-2.9997227192,3.7064938545
18.4370551109,-2.9997267723,3.7026860714
19.4371118546,-2.999712944,3.698980093
20.4371695518,-2.9997198582,3.6954202652
21.4372262955,-2.9997208118,3.691927433
22.4372835159,-2.9997222424,3.6885697842
23.4373407364,-2.9997143745,3.6852869987
24.4373979568,-2.9997320175,3.6821060181
25.4374551773,-2.9997110367,3.6790025234
26.4375123978,-2.9997286797,3.6759808064
27.4375691414,-2.9997193813,3.6730284691
28.4376268387,-2.9997227192,3.6701290607
29.4366836548,-2.9997215271,3.6673326492
30.4367413521,-2.999727726,3.664576292
31.4367980957,-2.9997286797,3.661866188
32.436855793,-2.9997391701,3.6592361927
33.4369125366,-2.9997265339,3.6566374302
34.4369702339,-2.9997410774,3.6541199684
35.4370269775,-2.9997403622,3.6516349316
36.4370846748,-2.9997234344,3.6491680145
37.4371414185,-2.9997265339,3.646780014
38.4371991158,-2.9997260571,3.6444005966
39.4372558594,-2.9997270107,3.6420853138
40.4373135567,-2.9997236729,3.6397974491
41.4373703003,-2.999727726,3.6375632286
42.4374275208,-2.9997177124,3.6353187561
43.4374847412,-2.9997253418,3.6331253052
44.4375419617,-2.9997200966,3.6309754848
45.4375987053,-2.9997081757,3.628841877
46.4366559982,-2.9997291565,3.6267549992
47.4367132187,-2.9997160435,3.6246671677
48.4367704391,-2.9997403622,3.6226148605
49.4368276596,-2.9997215271,3.6206068993
50.4368848801,-2.9997096062,3.6186044216
51.4369421005,-2.9997193813,3.6166291237
52.436999321,-2.9997200966,3.614688158
53.4370565414,-2.9997205734,3.6127417088
54.4371137619,-2.9996826649,3.6108510494
55.4371709824,-2.999710083,3.6089692116
56.4372282028,-2.9997160435,3.6071205139
57.4372854233,-2.9997127056,3.6052801609
58.4373426437,-2.9997131824,3.6034686565
59.4373998642,-2.9997160435,3.6016602516
60.4374570847,-2.9997091293,3.5998876095
61.4375143051,-2.9997265339,3.5981209278
62.4375715256,-2.9997210503,3.5963704586
63.437628746,-2.9997179508,3.594679594
64.4366855621,-2.9997160435,3.5929744244
65.4367427826,-2.9997279644,3.5913004875
66.4368000031,-2.9997389317,3.5896470547
67.4368572235,-2.9997236729,3.5879952908
68.436914444,-2.9997308254,3.5863790512
69.4369716644,-2.9997224808,3.5847890377
70.4370288849,-2.9997251034,3.5831949711
71.4370861053,-2.9997382164,3.581608057
72.4371433258,-2.9997169971,3.5800874233
73.4372005463,-2.9997096062,3.5785527229
74.4372577667,-2.9997179508,3.5770242214
75.4373149872,-2.9997212887,3.5755255222
76.4373722076,-2.9997274876,3.5740535259
77.4374294281,-2.9997265339,3.5725851059
78.4374866486,-2.9997282028,3.5711278915
79.437543869,-2.9997341633,3.5697011948
80.4376010895,-2.9997303486,3.5682907104
81.4366579056,-2.9997332096,3.5668923855
82.436715126,-2.9997212887,3.5654981136
83.4367723465,-2.9997341633,3.5641124249
84.436829567,-2.9997324944,3.5627670288
85.4368867874,-2.9997234344,3.5614135265
86.4369440079,-2.9997413158,3.5600819588
87.4370012283,-2.9997358322,3.5587582588
88.4370584488,-2.9997360706,3.5574455261
89.4371156693,-2.9997260571,3.5561499596
90.4371728897,-2.999724865,3.5548639297
91.4372301102,-2.9997560978,3.5535900593
92.4372873306,-2.9997460842,3.5523264408
93.4373445511,-2.9997444153,3.551071167
94.4374017715,-2.9997446537,3.5498249531
95.437458992,-2.9997296333,3.5486059189
96.4375162125,-2.9997282028,3.5473885536
97.4375734329,-2.9997360706,3.5461757183
98.4376306534,-2.9997425079,3.5449769497
99.4366879463,-2.9997472763,3.543797493
100.4367451668,-2.9997384548,3.5426015854
101.4368019104,-2.999745369,3.541438818
102.4368591309,-2.9997401237,3.5402538776
103.4369163513,-2.9997527599,3.5391101837
104.4369735718,-2.9997413158,3.5379464626
105.4370307922,-2.9997336864,3.5368142128
106.4370880127,-2.9997644424,3.5356669426
107.4371452332,-2.999733448,3.5345537663
108.4372024536,-2.9997525215,3.533427
109.4372596741,-2.9997396469,3.5323302746
110.4373168945,-2.9997403622,3.5312168598
111.437374115,-2.9997396469,3.5301074982
112.4374313354,-2.9997303486,3.5290219784
113.4374885559,-2.999751091,3.5279424191
114.4375457764,-2.9997432232,3.5268552303
115.4376029968,-2.9997515678,3.5257899761
116.4366602898,-2.9997439384,3.5247170925
117.4367175102,-2.9997420311,3.5236644745
118.4367747307,-2.9997577667,3.5225865841
119.4368319511,-2.9997501373,3.5215342045
120.4368891716,-2.9997427464,3.5204973221
121.4369459152,-2.9997496605,3.5194494724
122.4370031357,-2.9997565746,3.5184118748
123.4370603561,-2.9997465611,3.5174024105
124.4371175766,-2.9997437,3.516351223
125.4371747971,-2.9997403622,3.5153408051
126.4372320175,-2.9997472763,3.5143325329
127.437289238,-2.9997496605,3.513314724
128.4373464584,-2.9997603893,3.5122978687
129.4374036789,-2.9997546673,3.5113081932
130.4374608994,-2.9997479916,3.5103003979
131.4375181198,-2.99974823,3.5092921257
132.4375753403,-2.9997425079,3.5083086491
133.4376325607,-2.9997689724,3.5073285103
134.4366893768,-2.9997398853,3.5063579082
135.4367470741,-2.9997420311,3.505382061
136.4368038177,-2.999755621,3.5043859482
137.436861515,-2.9997491837,3.5034253597
138.4369182587,-2.9997467995,3.5024633408
139.436975956,-2.9997413158,3.5014863014
140.4370326996,-2.9997396469,3.5005269051
141.43708992,-2.999765873,3.4995727539
142.4371471405,-2.9997580051,3.4986274242
143.437204361,-2.9997575283,3.4976739883
144.4372611046,-2.9997410774,3.4967417717
145.4373188019,-2.9997389317,3.4958081245
146.4373755455,-2.9997498989,3.4948432446
147.4374332428,-2.9997575283,3.4939043522
148.4374899864,-2.9997675419,3.4929764271
149.4375476837,-2.9997475147,3.4920408726
150.4376044273,-2.9997475147,3.4911179543
151.4366621971,-2.9997575283,3.4902102947
152.4367189407,-2.9997596741,3.4892823696
153.436776638,-2.9997341633,3.4883594513
154.4368333817,-2.9997456074,3.4874520302
155.4368910789,-2.9997501373,3.4865458012
156.4369478226,-2.9997467995,3.4856417179
157.4370055199,-2.9997396469,3.4847309589
158.4370622635,-2.9997508526,3.4838314056
159.4371199608,-2.9997661114,3.4829471111
160.4371767044,-2.9997456074,3.4820497036
161.4372339249,-2.99974823,3.4811449051
162.4372911453,-2.9997577667,3.4802517891
163.4373483658,-2.9997591972,3.4793679714
164.4374051094,-2.9997580051,3.4784901142
165.4374628067,-2.9997575283,3.4776036739
166.4375195503,-2.9997475147,3.4767222404
167.4375772476,-2.9997651577,3.4758410454
168.4376339912,-2.9997589588,3.4749674797
169.4366912842,-2.9997437,3.4740977287
170.4367485046,-2.9997611046,3.4732158184
171.4368057251,-2.9997611046,3.4723720551
172.4368629456,-2.9997684956,3.4715096951
173.436920166,-2.9997472763,3.4706370831
174.4369773865,-2.9997470379,3.4697716236
175.4370346069,-2.9997739792,3.4689290524
176.4370918274,-2.9997515678,3.4680833817
177.4371490479,-2.9997465611,3.4672319889
178.4372062683,-2.9997560978,3.4663817883
179.4372634888,-2.9997580051,3.4655253887
180.4373207092,-2.9997665882,3.4646904469
181.4373779297,-2.9997806549,3.4638495445
182.4374351501,-2.9997785091,3.4629938602
183.4374923706,-2.9997606277,3.4621727467
184.4375491142,-2.9997739792,3.4613249302
185.4376063347,-2.9997844696,3.4604899883
186.4366636276,-2.9997594357,3.4596705437
187.4367208481,-2.9997811317,3.4588518143
188.4367780685,-2.9997618198,3.4580185413
189.436835289,-2.9997780323,3.4572031498
190.4368925095,-2.9997918606,3.4563686848
191.4369497299,-2.9997754097,3.4555461407
192.4370069504,-2.9997575283,3.4547324181
193.4370641708,-2.9997794628,3.4539413452
194.4371213913,-2.9997758865,3.4531209469
195.4371786118,-2.9997549057,3.4523165226
196.4372358322,-2.9997823238,3.4514930248
197.4372930527,-2.9997706413,3.4506864548
198.4373502731,-2.9997758865,3.4498794079
199.4374074936,-2.9997467995,3.4490969181
200.4374647141,-2.9997498989,3.4482946396
201.4375219345,-2.9997730255,3.4474949837
202.437579155,-2.9997396469,3.4467031956
203.4376363754,-2.9997525215,3.4459247589
204.4366931915,-2.9997451305,3.4451327324
205.436750412,-2.9997649193,3.4443435669
206.4368076324,-2.9997580051,3.4435629845
207.4368648529,-2.999768734,3.4427778721
208.4369220734,-2.9997403622,3.4419946671
209.4369792938,-2.9997537136,3.4412050247
210.4370365143,-2.9997632504,3.4404387474
211.4370937347,-2.9997577667,3.4396657944
212.4371509552,-2.999767065,3.4388847351
213.4372081757,-2.9997673035,3.4381272793
214.4372653961,-2.9997580051,3.4373557568
215.4373226166,-2.9997575283,3.4365870953
216.437379837,-2.9997782707,3.4358222485
217.4374370575,-2.9997589588,3.4350619316
218.437494278,-2.9997661114,3.434294939
219.4375514984,-2.9997603893,3.4335422516
220.4376087189,-2.9997661114,3.4327938557
221.436665535,-2.9997520447,3.4320392609
