Time (s),Current (A),Voltage(V)
0.4360251427,-2.9996156693,3.8673357964
1.4360823631,-2.999617815,3.8419158459
2.4361395836,-2.9995989799,3.829167366
3.436196804,-2.9996266365,3.8196277618
4.4362540245,-2.999630928,3.8116939068
5.436311245,-2.9996716976,3.8047571182
6.4363684654,-2.9996562004,3.7984790802
7.4364256859,-2.9996795654,3.7926814556
8.4364829063,-2.999671936,3.787301302
9.4365401268,-2.9996814728,3.7822065353
10.4365973473,-2.9997019768,3.7774238586
11.4366545677,-2.9996693134,3.7728407383
12.4367117882,-2.9996852875,3.7684690952
13.4367690086,-2.9996781349,3.764277935
14.4368257523,-2.9996910095,3.7602348328
15.4358825684,-2.999702692,3.7563421726
16.4359402657,-2.9996945858,3.7525978088
17.4359970093,-2.9997169971,3.7489898205
18.4360547066,-2.9997060299,3.7454693317
19.4361114502,-2.9997000694,3.7420418262
20.4361691475,-2.9997105598,3.7387731075
21.4362258911,-2.9997017384,3.7355573177
22.4362835884,-2.9997036457,3.7324328423
23.436340332,-2.999704361,3.7294175625
24.4363980293,-2.9997017384,3.7264442444
25.4364547729,-2.9997057915,3.7235665321
26.4365124702,-2.9996991158,3.7207686901
27.4365692139,-2.9996910095,3.7180383205
28.4366269112,-2.9997177124,3.7153496742
29.4366836548,-2.9997165203,3.7127385139
30.4367413521,-2.9997169971,3.7101662159
31.4367980957,-2.9997198582,3.7076740265
32.4358553886,-2.9997127056,3.7051916122
33.4359126091,-2.9997122288,3.7027812004
34.4359693527,-2.9997067451,3.7003908157
35.4360265732,-2.9997115135,3.698059082
36.4360837936,-2.9997055531,3.6957421303
37.4361410141,-2.9997296333,3.6934478283
38.4361982346,-2.9997124672,3.6912286282
39.436255455,-2.9997291565,3.6890070438
40.4363126755,-2.9997029305,3.6868257523
41.4363698959,-2.9996981621,3.6846909523
42.4364271164,-2.9997081757,3.6825547218
43.4364843369,-2.9997172356,3.6804418564
44.4365415573,-2.9997222424,3.6783530712
45.4365987778,-2.999714613,3.6763134003
46.4366559982,-2.9997110367,3.6742823124
47.4367132187,-2.9997165203,3.6722531319
48.4367704391,-2.999714613,3.670245409
49.4368276596,-2.9997184277,3.6682641506
50.4358849525,-2.999723196,3.6662948132
51.435942173,-2.9997112751,3.6643493176
52.4359993935,-2.9997210503,3.6624059677
53.4360561371,-2.9997160435,3.6604859829
54.4361133575,-2.9997196198,3.6585929394
55.436170578,-2.9997096062,3.6567122936
56.4362277985,-2.9997057915,3.6548595428
57.4362850189,-2.9997007847,3.6530175209
58.4363422394,-2.9997186661,3.6511843204
59.4363994598,-2.9996986389,3.6493608952
60.4364566803,-2.9997127056,3.6475601196
61.4365139008,-2.9997127056,3.6457726955
62.4365711212,-2.9997105598,3.6440103054
63.4366283417,-2.9997003078,3.6422522068
64.4366855621,-2.9997050762,3.6405208111
65.4367427826,-2.9997193813,3.6388123035
66.4368000031,-2.999714613,3.6371173859
67.435857296,-2.999723196,3.6354272366
68.4359145164,-2.9997239113,3.6337621212
69.4359717369,-2.9997169971,3.6320960522
70.4360289574,-2.9997150898,3.6304690838
71.4360861778,-2.9997138977,3.6288392544
72.4361433983,-2.9996962547,3.6272375584
73.4362001419,-2.9997074604,3.6256682873
74.4362573624,-2.9997227192,3.6240749359
75.4363145828,-2.9997048378,3.6225347519
76.4363718033,-2.9997045994,3.6209843159
77.4364290237,-2.9997122288,3.6194636822
78.4364862442,-2.9997110367,3.6179533005
79.4365434647,-2.9997022152,3.6164655685
80.4366006851,-2.9997212887,3.614982605
81.4366579056,-2.9997124672,3.6135289669
82.436715126,-2.9997036457,3.6120986938
83.4367723465,-2.9997014999,3.6106564999
84.436829567,-2.9997110367,3.6092631817
85.4358868599,-2.9997057915,3.607861042
86.4359440804,-2.9997227192,3.606482029
87.4360013008,-2.9997267723,3.6051204205
88.4360585213,-2.9996995926,3.6037716866
89.4361157417,-2.9996988773,3.6024434566
90.4361729622,-2.9996974468,3.6011230946
91.4362301826,-2.9997234344,3.5998194218
92.4362874031,-2.9997191429,3.5985109806
93.4363441467,-2.9997179508,3.5972397327
94.4364013672,-2.9996912479,3.5959768295
95.4364585876,-2.9997096062,3.5947258472
96.4365158081,-2.9996991158,3.5934779644
97.4365730286,-2.9996991158,3.5922625065
98.436630249,-2.9997012615,3.5910613537
99.4366874695,-2.9997153282,3.5898547173
100.4367446899,-2.999710083,3.5886535645
101.4368019104,-2.9997127056,3.5874609947
102.4358592033,-2.9997155666,3.58629179
103.4359164238,-2.9997076988,3.5851356983
104.4359736443,-2.9997210503,3.5839831829
105.4360308647,-2.9997401237,3.5828220844
106.4360880852,-2.9997167587,3.5817067623
107.4361453056,-2.9997117519,3.5805974007
108.4362025261,-2.9997165203,3.5794739723
109.4362597466,-2.9997251034,3.5783779621
110.436316967,-2.9997413158,3.5772712231
111.4363741875,-2.9997086525,3.5761754513
112.4364314079,-2.999735117,3.5750932693
113.4364881516,-2.9997341633,3.5740334988
114.436545372,-2.9997286797,3.5729670525
115.4366025925,-2.9997341633,3.5719168186
116.4366598129,-2.9997322559,3.5708518028
117.4367170334,-2.9997315407,3.5698268414
118.4367742538,-2.9997260571,3.5687963963
119.4368314743,-2.9997282028,3.5677733421
120.4358887672,-2.9997332096,3.5667352676
121.4359459877,-2.9997391701,3.5657057762
122.4360032082,-2.9997384548,3.5647029877
123.4360604286,-2.9997191429,3.5636866093
124.4361176491,-2.9997220039,3.5626921654
125.4361748695,-2.9997315407,3.5616993904
126.43623209,-2.9997210503,3.5607163906
127.4362893105,-2.9997289181,3.559743166
128.4363465309,-2.9997451305,3.5587341785
129.4364037514,-2.9997413158,3.5577623844
130.4364609718,-2.9997365475,3.5567958355
131.4365181923,-2.999733448,3.5558204651
132.4365749359,-2.9997410774,3.5548362732
133.4366321564,-2.9997322559,3.5538849831
134.4366893768,-2.9997348785,3.5529308319
135.4367465973,-2.9997317791,3.5519754887
136.4368038177,-2.99974823,3.5510241985
137.4358611107,-2.9997417927,3.550093174
138.4359178543,-2.9997432232,3.5491631031
139.4359755516,-2.9997525215,3.5482184887
140.4360322952,-2.9997508526,3.5472853184
141.4360899925,-2.9997406006,3.5463726521
142.4361467361,-2.9997508526,3.545435667
143.4362044334,-2.9997720718,3.5445013046
144.4362611771,-2.9997513294,3.5435855389
