Time (s),Current (A),Voltage(V)
0.4360251427,-2.9996068478,3.8664355278
1.4360823631,-2.9996099472,3.8410990238
2.4361395836,-2.9996023178,3.828306675
3.436196804,-2.9996180534,3.8187565804
4.4362540245,-2.9996440411,3.8108062744
5.4363107681,-2.999669075,3.8038597107
6.4363679886,-2.9996845722,3.7975726128
7.436425209,-2.9996945858,3.7917940617
8.4364824295,-2.9996910095,3.7863998413
9.43653965,-2.9996843338,3.781314373
10.4365968704,-2.999694109,3.7765130997
11.4366540909,-2.9996807575,3.7719082832
12.4357113838,-2.9996857643,3.7675361633
13.4357686043,-2.9996824265,3.7633469105
14.4358258247,-2.9997069836,3.7592992783
15.4358830452,-2.999694109,3.7554039955
16.4359402657,-2.9997081757,3.7516443729
17.4359974861,-2.9997234344,3.7479915619
18.4360547066,-2.9997186661,3.7444887161
19.436111927,-2.9997103214,3.7410917282
20.4361691475,-2.9997067451,3.7377893925
21.436226368,-2.999714613,3.7345690727
22.4362835884,-2.9996988773,3.7314584255
23.4363408089,-2.9997050762,3.7284209728
24.4363980293,-2.9997212887,3.7254767418
25.4364547729,-2.9996981621,3.7226109505
26.4365119934,-2.9997184277,3.7197992802
27.4365692139,-2.9997110367,3.7170712948
28.4366264343,-2.9997117519,3.7143924236
29.4366836548,-2.9997184277,3.7117800713
30.4357409477,-2.9997193813,3.7092285156
31.4357981682,-2.9997153282,3.7067127228
32.4358553886,-2.9997215271,3.7042570114
33.4359126091,-2.9997036457,3.7018344402
34.4359698296,-2.9997069836,3.6994657516
35.43602705,-2.9997181892,3.6971116066
36.4360842705,-2.999710083,3.6948163509
37.4361414909,-2.9997067451,3.6925506592
38.4361987114,-2.9997160435,3.6903133392
39.4362559319,-2.9997091293,3.6881012917
40.4363131523,-2.9997098446,3.6859064102
41.4363703728,-2.999714613,3.6837499142
42.4364275932,-2.9997086525,3.6816430092
43.4364848137,-2.9997246265,3.6794989109
44.4365420341,-2.9997239113,3.6774361134
45.4365987778,-2.9997169971,3.6753771305
46.4366559982,-2.9997165203,3.6733131409
47.4357132912,-2.9997262955,3.6712908745
48.4357705116,-2.9997191429,3.6692891121
49.4358277321,-2.9997234344,3.6673083305
50.4358849525,-2.9997143745,3.6653430462
51.435942173,-2.9997143745,3.6634047031
52.4359993935,-2.9997076988,3.661488533
53.4360566139,-2.9997186661,3.6595652103
54.4361138344,-2.9997348785,3.6576519012
55.4361710548,-2.9997150898,3.6557853222
56.4362282753,-2.9997067451,3.6539068222
57.4362854958,-2.9997191429,3.6520597935
58.4363427162,-2.9997067451,3.6502475739
59.4363999367,-2.9997365475,3.6484336853
60.4364571571,-2.999724865,3.6466448307
61.4365143776,-2.9997260571,3.6448543072
62.4365715981,-2.9997091293,3.6430742741
63.4366288185,-2.9997220039,3.6413342953
64.436686039,-2.9997169971,3.6396009922
65.4357428551,-2.9997055531,3.6378874779
66.4358000755,-2.999710083,3.6362025738
67.435857296,-2.9997260571,3.6345183849
68.4359145164,-2.9997131824,3.632850647
69.4359717369,-2.9997127056,3.6311969757
70.4360289574,-2.9997210503,3.6295654774
71.4360861778,-2.9997329712,3.6279160976
72.4361433983,-2.9997165203,3.6263327599
73.4362006187,-2.9997098446,3.6247529984
74.4362578392,-2.9997165203,3.6231918335
75.4363150597,-2.9997179508,3.6216332912
76.4363722801,-2.9997279644,3.620092392
77.4364295006,-2.9997403622,3.6185843945
78.436486721,-2.9997460842,3.6170639992
79.4365439415,-2.9997210503,3.6155843735
80.436601162,-2.9997403622,3.6141381264
81.4366583824,-2.9997301102,3.6126892567
82.4357151985,-2.9997191429,3.6112561226
83.435772419,-2.9997363091,3.6098217964
84.4358296394,-2.9997289181,3.6084480286
85.4358863831,-2.9997265339,3.6070575714
86.4359440804,-2.9997239113,3.6056711674
87.436000824,-2.999723196,3.6043131351
88.4360585213,-2.9997315407,3.6029646397
89.4361152649,-2.9997317791,3.6016559601
90.4361729622,-2.999712944,3.6003134251
91.4362297058,-2.9997234344,3.5990152359
92.4362874031,-2.9997377396,3.5977392197
93.4363441467,-2.9997355938,3.5964605808
94.436401844,-2.9997150898,3.5952107906
95.4364585876,-2.9997200966,3.593965292
96.4365162849,-2.9997308254,3.5927505493
97.4365730286,-2.9997451305,3.5915184021
98.4366307259,-2.9997260571,3.5903029442
99.4366874695,-2.9997208118,3.5891189575
100.4357452393,-2.9997124672,3.5879323483
101.4358019829,-2.9997346401,3.5867581367
102.4358592033,-2.9997458458,3.5855956078
103.4359164238,-2.9997386932,3.5844407082
104.4359736443,-2.9997348785,3.5833096504
105.4360303879,-2.9997363091,3.5821659565
106.4360880852,-2.9997317791,3.5810513496
107.4361448288,-2.9997427464,3.5799319744
108.4362025261,-2.9997391701,3.5788259506
109.4362592697,-2.9997446537,3.5777344704
110.436316967,-2.9997279644,3.5766482353
111.4363737106,-2.9997537136,3.5755505562
112.4364314079,-2.9997529984,3.5744891167
113.4364881516,-2.9997391701,3.5734300613
114.4365458488,-2.999730587,3.5723774433
115.4366025925,-2.9997589588,3.5713562965
116.4366602898,-2.9997470379,3.5703055859
117.4357171059,-2.9997553825,3.5692722797
118.4357743263,-2.9997286797,3.5682325363
119.4358315468,-2.999727726,3.5672035217
120.4358887672,-2.9997358322,3.5661897659
121.4359459877,-2.9997391701,3.5651786327
122.4360032082,-2.9997386932,3.5641741753
123.4360604286,-2.9997324944,3.5631771088
124.4361171722,-2.9997348785,3.5621731281
125.4361743927,-2.9997324944,3.5611937046
126.4362316132,-2.9997427464,3.5601959229
127.4362888336,-2.9997594357,3.5592184067
128.4363460541,-2.9997515678,3.5582368374
129.4364032745,-2.9997317791,3.5572786331
130.436460495,-2.9997646809,3.556296587
131.4365177155,-2.9997344017,3.5553257465
132.4365749359,-2.9997439384,3.5543699265
133.4366321564,-2.9997630119,3.5534353256
134.4366893768,-2.9997601509,3.5524775982
135.4357466698,-2.9997625351,3.5515351295
136.4358038902,-2.999758482,3.5505964756
137.4358611107,-2.9997549057,3.5496652126
138.4359183311,-2.9997274876,3.5487532616
139.4359755516,-2.9997591972,3.5477952957
140.4360327721,-2.9997565746,3.5468754768
141.4360899925,-2.9997465611,3.5459680557
142.436147213,-2.9997348785,3.5450422764
143.4362044334,-2.9997346401,3.54413867
144.4362611771,-2.9997417927,3.5432312489
145.4363183975,-2.9997580051,3.5423321724
146.436375618,-2.9997465611,3.5414328575
147.4364328384,-2.9997498989,3.5405249596
148.4364900589,-2.9997577667,3.5396158695
149.4365472794,-2.999753952,3.5387225151
150.4366044998,-2.9997608662,3.5378143787
151.4366617203,-2.9997689724,3.5369312763
152.4357190132,-2.999758482,3.5360283852
153.4357762337,-2.9997441769,3.5351526737
154.4358334541,-2.9997551441,3.5342693329
155.4358906746,-2.999753952,3.5333819389
156.4359478951,-2.9997582436,3.5325255394
157.4360051155,-2.9997534752,3.5316483974
158.436062336,-2.9997622967,3.5307731628
159.4361195564,-2.9997484684,3.5299065113
160.4361767769,-2.999774456,3.5290203094
161.4362339973,-2.999753952,3.5281851292
162.4362912178,-2.999751091,3.5273201466
163.4363484383,-2.999727726,3.5264635086
164.4364051819,-2.9997415543,3.5256114006
165.4364624023,-2.9997458458,3.5247781277
166.4365196228,-2.9997384548,3.5239286423
167.4365768433,-2.9997470379,3.5230855942
168.4366340637,-2.9997441769,3.5222260952
169.4366912842,-2.9997460842,3.5214080811
170.4357485771,-2.9997639656,3.5205471516
171.4358057976,-2.9997508526,3.5197076797
172.435863018,-2.9997506142,3.5188655853
173.4359202385,-2.9997458458,3.5180268288
174.435977459,-2.9997291565,3.5172111988
175.4360346794,-2.9997344017,3.5163853168
