Time (s),Current (A),Voltage(V)
0.4320244789,-2.9995911121,3.8684153557
1.4320816994,-2.9996180534,3.8432035446
2.4321389198,-2.9996156693,3.8304104805
3.4321961403,-2.9996254444,3.8208620548
4.4322533607,-2.9996447563,3.8129291534
5.4323105812,-2.9996807575,3.8059933186
6.4323678017,-2.9996638298,3.7997207642
7.4324250221,-2.9996869564,3.7939293385
8.4324822426,-2.9996855259,3.7885355949
9.432539463,-2.9996814728,3.783493042
10.4325966835,-2.9996836185,3.778680563
11.432653904,-2.9996974468,3.7741069794
12.4327111244,-2.9996907711,3.7697327137
13.4327683449,-2.9997062683,3.765537262
14.4328255653,-2.9997117519,3.7615134716
15.4328827858,-2.9997084141,3.7576327324
16.4329400063,-2.999707222,3.7538866997
17.4319968224,-2.9997215271,3.7502579689
18.4320540428,-2.9997067451,3.746745348
19.4321107864,-2.9997115135,3.7433402538
20.4321684837,-2.9997293949,3.7400271893
21.4322252274,-2.9997198582,3.736795187
22.4322829247,-2.9997186661,3.7336938381
23.4323396683,-2.9997322559,3.7306494713
24.4323973656,-2.9997262955,3.7276844978
25.4324541092,-2.9997136593,3.7248103619
26.4325118065,-2.9997358322,3.7219948769
27.4325685501,-2.9997308254,3.7192454338
28.4326262474,-2.9997475147,3.7165501118
29.432682991,-2.9997384548,3.7139277458
30.4327406883,-2.9997198582,3.7113404274
31.4327974319,-2.9997169971,3.7088375092
32.4328551292,-2.9997358322,3.706350565
33.4329118729,-2.9997241497,3.7039451599
34.4329695702,-2.9997255802,3.7015709877
35.4320263863,-2.9997200966,3.6992292404
36.4320836067,-2.9997227192,3.6969122887
37.4321408272,-2.9997446537,3.6946463585
38.4321980476,-2.999714613,3.692412138
39.4322547913,-2.9997136593,3.6902010441
40.4323120117,-2.9997265339,3.6880142689
41.4323692322,-2.9997375011,3.6858770847
42.4324264526,-2.9997315407,3.6837632656
43.4324836731,-2.9997253418,3.681656599
44.4325408936,-2.9997112751,3.6795909405
45.432598114,-2.9997138977,3.6775386333
46.4326553345,-2.9997029305,3.6754932404
47.4327125549,-2.9997286797,3.6734778881
48.4327697754,-2.9997165203,3.6715068817
49.4328269958,-2.9997138977,3.6695151329
50.4328842163,-2.9997012615,3.6675677299
51.4329414368,-2.9997045994,3.6656281948
52.4319987297,-2.9997200966,3.6637010574
53.4320559502,-2.9997084141,3.6617827415
54.4321131706,-2.9997141361,3.6599094868
55.4321703911,-2.9997286797,3.6580355167
56.4322276115,-2.9997346401,3.6561825275
57.432284832,-2.9997372627,3.6543290615
58.4323420525,-2.9997241497,3.6525096893
59.4323987961,-2.9997251034,3.6506986618
60.4324560165,-2.9997365475,3.6488838196
61.432513237,-2.9997167587,3.6471116543
62.4325704575,-2.9997136593,3.6453523636
63.4326276779,-2.999727726,3.6435925961
64.4326848984,-2.9997220039,3.6418771744
65.4327421188,-2.9997260571,3.6401627064
66.4327993393,-2.9997236729,3.6384484768
67.4328565598,-2.9997279644,3.6367781162
68.4329137802,-2.9997525215,3.6350815296
69.4329710007,-2.9997406006,3.6334283352
70.4320282936,-2.9997267723,3.6317918301
71.4320855141,-2.9997355938,3.6301708221
