Time (s),Current (A),Voltage(V)
0.4230241776,-2.9995839596,3.773866415
1.423081398,-2.9996089935,3.7307803631
2.4231386185,-2.9996364117,3.7100880146
3.4231958389,-2.9996721745,3.6948080063
4.4232530594,-2.9996752739,3.6822500229
5.4233102798,-2.9996752739,3.6714241505
6.4233675003,-2.9996926785,3.6617305279
7.4234247208,-2.9996986389,3.6529047489
8.4234819412,-2.9996964931,3.6447787285
9.4235391617,-2.9996922016,3.6371796131
10.4235963821,-2.9996979237,3.6300344467
11.4236536026,-2.9997000694,3.62327075
12.4237108231,-2.9997029305,3.6168375015
13.4237680435,-2.999724865,3.6106767654
14.423825264,-2.9997124672,3.6047754288
15.4238820076,-2.999710083,3.5991110802
16.4229393005,-2.9997088909,3.5936205387
17.4229960442,-2.9997136593,3.5883171558
18.4230537415,-2.9997115135,3.583178997
19.4231104851,-2.9997301102,3.5781846046
20.4231681824,-2.9997186661,3.5733172894
21.423224926,-2.9997122288,3.5685882568
22.4232826233,-2.9997136593,3.5639820099
23.4233393669,-2.9997088909,3.5594658852
24.4233970642,-2.9997236729,3.555038929
25.4234538078,-2.9997160435,3.5507192612
26.4235115051,-2.9997143745,3.5464937687
27.4235682487,-2.9997239113,3.5423321724
28.423625946,-2.9997096062,3.5382702351
29.4236826897,-2.9997196198,3.5342595577
30.423740387,-2.9997267723,3.5303225517
31.4237971306,-2.9997124672,3.5264849663
32.4238548279,-2.9997329712,3.522687912
33.422911644,-2.9997060299,3.5189669132
34.4229688644,-2.9997096062,3.5153150558
35.4230256081,-2.9997122288,3.5116939545
36.4230828285,-2.9997000694,3.5081410408
37.423140049,-2.9997260571,3.5046505928
38.4231972694,-2.9997045994,3.5012154579
39.4232544899,-2.9997282028,3.4978265762
40.4233117104,-2.9997150898,3.4944958687
41.4233689308,-2.9997208118,3.4911901951
42.4234261513,-2.9997475147,3.4879612923
43.4234833717,-2.9997303486,3.4847683907
44.4235405922,-2.9997088909,3.4816384315
45.4235978127,-2.9997172356,3.4785375595
46.4236550331,-2.9997224808,3.4754784107
47.4237122536,-2.9997262955,3.4724767208
48.423769474,-2.9997332096,3.4694974422
49.4238266945,-2.9997355938,3.466561079
50.4238839149,-2.9997241497,3.463681221
51.4229412079,-2.999712944,3.4608066082
52.4229984283,-2.9997181892,3.4579997063
53.4230556488,-2.9997346401,3.455227375
54.4231123924,-2.9997177124,3.452475071
55.4231696129,-2.9997396469,3.449767828
56.4232268333,-2.9997315407,3.4470999241
57.4232840538,-2.9997260571,3.4444601536
58.4233412743,-2.9997200966,3.441857338
59.4233984947,-2.9997251034,3.4392466545
60.4234557152,-2.9997186661,3.4367051125
61.4235129356,-2.9997069836,3.4341919422
62.4235701561,-2.9997000694,3.4317264557
63.4236273766,-2.9997262955,3.4292397499
64.423684597,-2.9997220039,3.4267981052
65.4237418175,-2.9997096062,3.4244096279
66.4237990379,-2.9997246265,3.4220228195
67.4238562584,-2.9997324944,3.4196455479
68.4229135513,-2.9997391701,3.4173426628
69.4229707718,-2.9997386932,3.4150357246
70.4230279922,-2.9997375011,3.4127714634
71.4230852127,-2.9997255802,3.4105217457
72.4231424332,-2.9997456074,3.4082894325
73.4231996536,-2.9997262955,3.4060957432
74.4232563972,-2.9997260571,3.4039168358
75.4233136177,-2.9997401237,3.4017660618
76.4233708382,-2.9997234344,3.3996210098
77.4234280586,-2.9997375011,3.3975117207
78.4234852791,-2.9997136593,3.3954269886
79.4235424995,-2.9997184277,3.3933603764
80.42359972,-2.9997169971,3.391326189
81.4236569405,-2.9997360706,3.389291048
82.4237141609,-2.999733448,3.387280941
83.4237713814,-2.9997632504,3.3853054047
84.4238286018,-2.9997303486,3.3833529949
85.4238858223,-2.9997377396,3.381385088
86.4229431152,-2.9997320175,3.3794653416
87.4230003357,-2.9997541904,3.3775494099
88.4230575562,-2.9997382164,3.3756694794
89.4231147766,-2.9997308254,3.3738229275
90.4231719971,-2.9997251034,3.3719451427
91.4232292175,-2.999735117,3.3701059818
92.423286438,-2.9997496605,3.3682832718
93.4233436584,-2.9997324944,3.3664748669
94.4234004021,-2.9997143745,3.3646981716
95.4234576225,-2.9997253418,3.3629078865
96.423514843,-2.9997322559,3.3611390591
97.4235720634,-2.9997384548,3.3594229221
98.4236292839,-2.9997212887,3.3576951027
99.4236865044,-2.9997262955,3.3559834957
100.4237437248,-2.9997446537,3.3542807102
101.4238009453,-2.9997498989,3.3525969982
102.4238581657,-2.9997270107,3.3509340286
103.4229154587,-2.9997308254,3.3492763042
104.4229726791,-2.9997360706,3.3476369381
105.4230298996,-2.9997413158,3.3460252285
106.4230871201,-2.9997291565,3.3444178104
107.4231443405,-2.9997289181,3.3428108692
108.423201561,-2.9997425079,3.341227293
109.4232587814,-2.999745369,3.3396673203
110.4233160019,-2.9997420311,3.338095665
111.4233732224,-2.999733448,3.3365619183
112.4234304428,-2.9997513294,3.3350186348
113.4234876633,-2.9997525215,3.3335092068
114.4235444069,-2.9997396469,3.3320116997
115.4236016273,-2.9997386932,3.3305056095
116.4236588478,-2.9997317791,3.3290417194
117.4237160683,-2.9997513294,3.3275632858
118.4237732887,-2.9997470379,3.3260929585
119.4238305092,-2.9997410774,3.3246560097
120.4228878021,-2.9997324944,3.3232188225
121.4229450226,-2.9997398853,3.3217844963
122.423002243,-2.9997563362,3.3203594685
123.4230594635,-2.9997601509,3.3189499378
124.423116684,-2.9997391701,3.317565918
125.4231739044,-2.9997417927,3.316161871
126.4232311249,-2.9997553825,3.3147990704
127.4232883453,-2.9997618198,3.3134336472
128.4233455658,-2.9997375011,3.3120882511
129.4234027863,-2.9997377396,3.3107221127
130.4234600067,-2.9997494221,3.3093731403
131.4235172272,-2.9997537136,3.3080713749
132.4235744476,-2.9997472763,3.3067374229
133.4236316681,-2.9997363091,3.3054535389
134.4236884117,-2.9997563362,3.3041393757
135.4237456322,-2.9997625351,3.3028571606
136.4238028526,-2.9997496605,3.3015828133
137.4238600731,-2.9997417927,3.3003001213
138.4229168892,-2.9997601509,3.2990362644
139.4229745865,-2.9997372627,3.2977855206
140.4230313301,-2.9997348785,3.296554327
141.4230890274,-2.999751091,3.2953093052
142.423145771,-2.9997508526,3.2940943241
143.4232034683,-2.9997324944,3.2928643227
144.4232602119,-2.9997441769,3.2916479111
145.4233179092,-2.9997444153,3.2904632092
146.4233746529,-2.9997537136,3.2892904282
147.4234323502,-2.9997296333,3.2881011963
148.4234890938,-2.9997441769,3.2869231701
149.4235467911,-2.9997589588,3.2857608795
150.4236035347,-2.9997370243,3.2845823765
151.423661232,-2.9997520447,3.283428669
152.4237179756,-2.9997498989,3.2822887897
153.4237751961,-2.9997429848,3.2811553478
154.4238324165,-2.9997341633,3.280018568
155.4228892326,-2.9997541904,3.2788872719
156.4229464531,-2.9997348785,3.2777702808
157.4230036736,-2.999724865,3.2766661644
158.423060894,-2.9997496605,3.2755615711
159.4231181145,-2.9997358322,3.2744665146
160.4231753349,-2.999745369,3.2733836174
161.4232325554,-2.9997315407,3.2723031044
162.4232897758,-2.9997508526,3.2712402344
163.4233469963,-2.9997487068,3.2701787949
164.4234042168,-2.9997372627,3.2691061497
165.4234614372,-2.9997375011,3.2680571079
166.4235186577,-2.9997649193,3.2670123577
167.4235758781,-2.9997465611,3.2659828663
168.4236330986,-2.999733448,3.2649459839
169.4236903191,-2.999756813,3.26390481
170.4237475395,-2.9997582436,3.262901783
171.42380476,-2.9997498989,3.2618985176
172.4238619804,-2.9997565746,3.2608664036
173.4229187965,-2.9997730255,3.2598640919
174.422976017,-2.9997432232,3.2588860989
175.4230332375,-2.9997389317,3.2579100132
176.4230904579,-2.9997546673,3.2569208145
177.4231476784,-2.9997429848,3.2559421062
178.4232048988,-2.9997410774,3.2549703121
179.4232621193,-2.9997637272,3.254001379
180.4233193398,-2.9997389317,3.2530407906
181.4233765602,-2.999735117,3.2520766258
182.4234337807,-2.9997725487,3.2511339188
183.4234910011,-2.9997560978,3.2501857281
184.4235482216,-2.9997630119,3.2492518425
185.423605442,-2.9997479916,3.2483053207
186.4236626625,-2.9997727871,3.2473826408
187.423719883,-2.999751091,3.2464549541
188.4237771034,-2.9997701645,3.2455239296
189.4238343239,-2.9997565746,3.2446300983
190.4228916168,-2.9997525215,3.2437021732
191.4229488373,-2.9997618198,3.2428073883
192.4230060577,-2.9997529984,3.2419176102
193.4230628014,-2.9997620583,3.2409901619
194.4231200218,-2.9997601509,3.2401115894
195.4231772423,-2.9997370243,3.2392282486
196.4232344627,-2.9997675419,3.2383315563
197.4232916832,-2.9997615814,3.2374813557
198.4233489037,-2.9997622967,3.2365915775
199.4234061241,-2.9997615814,3.2357077599
200.4234633446,-2.9997730255,3.2348527908
201.423520565,-2.9997446537,3.2339930534
202.4235777855,-2.999751091,3.2331361771
203.423635006,-2.9997565746,3.2322704792
204.4236922264,-2.9997675419,3.2314217091
205.4237494469,-2.9997324944,3.230587244
206.4238066673,-2.9997451305,3.2297401428
207.4238638878,-2.9997618198,3.2289168835
208.4229211807,-2.9997360706,3.2280790806
209.4229784012,-2.9997570515,3.2272334099
210.4230356216,-2.9997706413,3.2264225483
211.4230928421,-2.9997541904,3.225607872
212.4231500626,-2.9997465611,3.2247872353
213.4232068062,-2.9997634888,3.2239837646
214.4232640266,-2.9997541904,3.2231645584
215.4233212471,-2.9997618198,3.2223534584
216.4233784676,-2.9997603893,3.2215602398
217.423435688,-2.9997467995,3.2207353115
218.4234929085,-2.9997746944,3.2199375629
219.4235501289,-2.9997699261,3.2191431522
220.4236073494,-2.9997551441,3.2183551788
221.4236645699,-2.9997596741,3.2175590992
222.4237217903,-2.9997782707,3.2167756557
223.4237790108,-2.9997522831,3.2159912586
224.4238362312,-2.9997498989,3.2151889801
225.4228935242,-2.9997739792,3.2144114971
226.4229507446,-2.9997720718,3.2136290073
227.4230079651,-2.9997608662,3.2128660679
228.4230651855,-2.9997766018,3.2121105194
229.423122406,-2.9997601509,3.2113337517
230.4231796265,-2.9997730255,3.2105631828
231.4232368469,-2.9997787476,3.2098190784
232.4232940674,-2.9997754097,3.2090499401
233.423350811,-2.9997484684,3.2082955837
234.4234080315,-2.9997811317,3.2075438499
235.4234652519,-2.999771595,3.2067914009
236.4235224724,-2.9997577667,3.2060284615
237.4235796928,-2.9997870922,3.2052781582
238.4236369133,-2.9997699261,3.2045581341
239.4236941338,-2.9997639656,3.2038004398
240.4237513542,-2.999777317,3.2030713558
241.4238085747,-2.9997637272,3.2023260593
242.4238657951,-2.9997437,3.2015783787
243.4229230881,-2.9997651577,3.2008593082
244.4229803085,-2.9997603893,3.2001032829
245.423037529,-2.9997754097,3.1993720531
246.4230947495,-2.9997844696,3.1986551285
247.4231519699,-2.999768734,3.1979153156
248.4232091904,-2.9997732639,3.1971943378
249.4232664108,-2.9997868538,3.1964855194
250.4233236313,-2.9997684956,3.1957509518
251.4233808517,-2.9997689724,3.1950330734
252.4234375954,-2.9997861385,3.1943130493
253.4234948158,-2.9997828007,3.1935927868
254.4235520363,-2.9997680187,3.192907095
255.4236092567,-2.9997947216,3.1921942234
256.4236664772,-2.9997768402,3.1914875507
257.4237236977,-2.9997806549,3.1907689571
258.4237809181,-2.9997782707,3.1900744438
259.4238381386,-2.999771595,3.1893856525
260.4228954315,-2.9997677803,3.1886768341
261.4229521751,-2.9997975826,3.1879901886
262.4230098724,-2.9997770786,3.18729949
263.4230666161,-2.9997699261,3.1865940094
264.4231243134,-2.9997775555,3.1859064102
265.423181057,-2.9997625351,3.1852231026
266.4232387543,-2.9997620583,3.1845209599
267.4232954979,-2.9997782707,3.1838452816
268.4233531952,-2.9997944832,3.1831402779
269.4234099388,-2.9997849464,3.1824786663
270.4234676361,-2.9997844696,3.1817822456
271.4235243797,-2.9997894764,3.1810963154
272.4235816002,-2.9997868538,3.1804199219
273.4236388206,-2.9997916222,3.1797230244
274.4236960411,-2.9998009205,3.1790468693
275.4237532616,-2.9997739792,3.1783864498
276.423810482,-2.9997794628,3.1776943207
277.4238672256,-2.9997837543,3.1770255566
278.4229245186,-2.9997632504,3.1763529778
279.422981739,-2.9998149872,3.1756732464
280.4230389595,-2.9997797012,3.1750085354
281.42309618,-2.9997758865,3.1743519306
282.4231534004,-2.9997735023,3.1736798286
283.4232106209,-2.9997665882,3.1730070114
284.4232678413,-2.9997684956,3.172347784
285.4233250618,-2.9997735023,3.1716732979
286.4233822823,-2.9997701645,3.1710247993
287.4234395027,-2.999776125,3.1703734398
288.4234967232,-2.999771595,3.1696960926
289.4235539436,-2.9997904301,3.1690509319
290.4236111641,-2.99974823,3.1683928967
291.4236683846,-2.9997782707,3.1677286625
292.423725605,-2.9997615814,3.1670672894
293.4237828255,-2.9997735023,3.1664121151
294.4238400459,-2.9997739792,3.1657626629
295.422896862,-2.9997656345,3.1651268005
296.4229540825,-2.9997711182,3.164457798
297.4230113029,-2.9997644424,3.1638092995
298.4230685234,-2.999756813,3.1631612778
299.4231257439,-2.9997649193,3.1625070572
300.4231829643,-2.9997830391,3.1618564129
301.4232401848,-2.9997601509,3.1612141132
302.4232974052,-2.9997742176,3.1605660915
303.4233546257,-2.9997782707,3.1599259377
304.4234118462,-2.9997906685,3.1592645645
305.4234690666,-2.9997730255,3.1586461067
306.4235262871,-2.9997673035,3.1579725742
307.4235835075,-2.9997935295,3.1573324203
308.423640728,-2.999774456,3.1566913128
309.4236979485,-2.9997735023,3.1560518742
310.4237551689,-2.9997899532,3.15539217
311.4238123894,-2.9997746944,3.1547648907
312.4238696098,-2.999786377,3.1541044712
313.4229264259,-2.9997785091,3.1534662247
314.4229836464,-2.9997959137,3.1528325081
315.4230408669,-2.9997813702,3.1521916389
316.4230980873,-2.9997780323,3.1515431404
317.4231553078,-2.9998064041,3.1509091854
318.4232125282,-2.9997816086,3.150282383
319.4232697487,-2.9997835159,3.1496500969
320.4233269691,-2.9997718334,3.1490097046
321.4233841896,-2.9997999668,3.1483979225
322.4234414101,-2.9997735023,3.1477649212
323.4234986305,-2.9998004436,3.1471190453
324.423555851,-2.9997904301,3.146491766
325.4236130714,-2.9997749329,3.1458554268
326.4236702919,-2.9997889996,3.1452214718
327.4237275124,-2.999777317,3.1445863247
328.4237847328,-2.999789238,3.1439614296
329.4238419533,-2.9997849464,3.1433343887
330.4228992462,-2.9997768402,3.1427140236
331.4229564667,-2.9997839928,3.1420683861
332.4230132103,-2.9997749329,3.1414334774
333.4230704308,-2.9997797012,3.1408119202
334.4231276512,-2.999767065,3.1401982307
335.4231848717,-2.9997882843,3.1395614147
336.4232420921,-2.999778986,3.1389520168
337.4232993126,-2.9997897148,3.1383264065
338.4233565331,-2.9997854233,3.1377131939
339.4234137535,-2.9997837543,3.1370708942
340.423470974,-2.9997806549,3.1364827156
341.4235281944,-2.9997746944,3.1358292103
342.4235854149,-2.999797821,3.1352102757
343.4236426353,-2.9997770786,3.1345798969
344.4236998558,-2.9997746944,3.1339802742
345.4237570763,-2.9997944832,3.1333482265
346.4238142967,-2.9997808933,3.1327164173
347.4238715172,-2.9997868538,3.1321156025
348.4229288101,-2.9997839928,3.1315028667
349.4229860306,-2.9998059273,3.1308794022
