Time (s),Current (A),Voltage(V)
0.4370250702,-2.9996302128,3.8664810658
1.4370822906,-2.9996092319,3.8410949707
2.4371395111,-2.9996337891,3.828343153
3.4371967316,-2.9996712208,3.8187725544
4.437253952,-2.9996747971,3.8108520508
5.4373111725,-2.9996602535,3.8038892746
6.4373683929,-2.9996862411,3.7976186275
7.4374256134,-2.9996886253,3.7918155193
8.4374828339,-2.9996776581,3.7864301205
9.4375400543,-2.9997179508,3.7813341618
10.4365973473,-2.9997177124,3.7765250206
11.4366545677,-2.9997012615,3.7719397545
12.4367117882,-2.9997081757,3.7675573826
13.4367690086,-2.999686718,3.7633678913
14.4368262291,-2.9997138977,3.7593266964
15.4368834496,-2.9997153282,3.7554428577
16.43694067,-2.9997110367,3.7516746521
17.4369978905,-2.9997031689,3.7480335236
18.4370551109,-2.9997048378,3.7445216179
19.4371118546,-2.9997205734,3.7411081791
20.437169075,-2.9997153282,3.7378065586
21.4372262955,-2.9997122288,3.7346122265
22.4372835159,-2.9997215271,3.7314729691
23.4373407364,-2.9997205734,3.7284531593
24.4373979568,-2.9997017384,3.7255139351
25.4374551773,-2.9997074604,3.7226336002
26.4375123978,-2.9997172356,3.7198343277
27.4365692139,-2.9997076988,3.7171020508
28.4366269112,-2.9997208118,3.7144377232
29.4366836548,-2.9997112751,3.7118198872
30.4367413521,-2.9996936321,3.7092652321
31.4367980957,-2.9997172356,3.7067506313
32.436855793,-2.9997124672,3.7042756081
33.4369125366,-2.9997372627,3.7018654346
34.4369702339,-2.999707222,3.699483633
35.4370269775,-2.9997074604,3.6971626282
36.4370846748,-2.9997317791,3.6948559284
37.4371414185,-2.9997332096,3.6925816536
38.4371991158,-2.9997057915,3.6903555393
39.4372558594,-2.9997086525,3.6881361008
40.4373130798,-2.9997076988,3.685952425
41.4373703003,-2.9997067451,3.6837902069
42.4374275208,-2.9997155666,3.6816663742
43.4374842644,-2.9996995926,3.6795518398
44.4375419617,-2.9997153282,3.6774711609
45.4365987778,-2.9997112751,3.675401926
46.4366564751,-2.9997017384,3.6733710766
47.4367132187,-2.9997124672,3.671353817
48.436770916,-2.9997165203,3.6693379879
49.4368276596,-2.9997048378,3.6673521996
50.4368853569,-2.9997003078,3.6653888226
51.4369421005,-2.9997153282,3.6634485722
52.4369997978,-2.9997067451,3.6615211964
53.4370565414,-2.9997062683,3.6595988274
54.4371142387,-2.9997150898,3.6577143669
55.4371709824,-2.9997155666,3.6558208466
56.4372286797,-2.9997115135,3.6539571285
57.4372854233,-2.9997091293,3.6521110535
58.4373431206,-2.9997117519,3.6503000259
59.4373998642,-2.9997246265,3.6484761238
60.4374570847,-2.9997117519,3.6466829777
61.4375143051,-2.9997153282,3.6449160576
62.4365711212,-2.9997096062,3.6431601048
63.4366283417,-2.9996986389,3.6413974762
64.4366855621,-2.9996864796,3.6396789551
65.4367427826,-2.9996967316,3.6379597187
66.4368000031,-2.9997005463,3.6362500191
67.4368572235,-2.9997136593,3.6345613003
68.436914444,-2.9997289181,3.6328868866
69.4369716644,-2.9997067451,3.6312441826
70.4370288849,-2.9997208118,3.6296088696
71.4370861053,-2.999707222,3.6279807091
72.4371433258,-2.9997019768,3.6263852119
73.4372005463,-2.9997279644,3.6248166561
74.4372577667,-2.9997136593,3.6232433319
75.4373149872,-2.999704361,3.6216905117
76.4373722076,-2.9997222424,3.6201603413
77.4374294281,-2.9997057915,3.6186430454
78.4374866486,-2.9997167587,3.6171422005
79.437543869,-2.9996960163,3.6156389713
80.4366006851,-2.9996960163,3.6141664982
81.4366579056,-2.9997179508,3.6127300262
82.436715126,-2.9997210503,3.6112849712
83.4367723465,-2.9997112751,3.6098592281
84.436829567,-2.9997055531,3.6084721088
85.4368867874,-2.9997153282,3.6070785522
86.4369440079,-2.9997112751,3.6057183743
87.4370012283,-2.9997019768,3.6043641567
88.4370584488,-2.9997124672,3.6030125618
89.4371156693,-2.9997117519,3.6016714573
90.4371728897,-2.9997212887,3.6003468037
91.4372301102,-2.9997069836,3.5990490913
92.4372873306,-2.9997150898,3.5977678299
93.4373445511,-2.9997167587,3.596493721
94.4374017715,-2.9997074604,3.5952403545
95.437458992,-2.9996972084,3.593994379
96.4375162125,-2.9997224808,3.5927605629
97.4365735054,-2.9997155666,3.5915448666
98.4366307259,-2.9997096062,3.5903291702
99.4366874695,-2.999730587,3.5891046524
100.4367446899,-2.9997291565,3.5879473686
101.4368019104,-2.9997227192,3.5867574215
102.4368591309,-2.9997091293,3.5856077671
103.4369163513,-2.9997193813,3.5844728947
104.4369735718,-2.9997041225,3.5833308697
105.4370307922,-2.9997124672,3.5821857452
106.4370880127,-2.9997260571,3.5810594559
107.4371452332,-2.9997167587,3.5799441338
108.4372024536,-2.9997181892,3.578840971
109.4372596741,-2.9997186661,3.5777621269
110.4373168945,-2.9997019768,3.5766661167
111.437374115,-2.9997169971,3.5755820274
112.4374313354,-2.9997260571,3.5744912624
113.4374885559,-2.9997267723,3.5734348297
114.4375457764,-2.9997384548,3.5723781586
115.4366030693,-2.9997169971,3.571336031
116.4366602898,-2.9997124672,3.570297718
117.4367175102,-2.9996991158,3.5692648888
118.4367742538,-2.9997308254,3.5682177544
119.4368314743,-2.9997177124,3.5672018528
120.4368886948,-2.9997160435,3.5661754608
121.4369459152,-2.9997286797,3.5651681423
122.4370031357,-2.9997186661,3.5641438961
123.4370603561,-2.999710083,3.5631549358
124.4371175766,-2.9997196198,3.5621671677
125.4371747971,-2.9997255802,3.5611803532
126.4372320175,-2.9997150898,3.5601928234
127.437289238,-2.9997274876,3.5592176914
128.4373464584,-2.9997115135,3.5582454205
129.4374036789,-2.9997363091,3.5572557449
130.4374608994,-2.9997332096,3.5563054085
131.4375181198,-2.9997222424,3.5553309917
132.4365754128,-2.999712944,3.5543837547
133.4366326332,-2.9997386932,3.5534262657
134.4366898537,-2.9997291565,3.5524861813
135.4367470741,-2.9997103214,3.5515422821
136.4368042946,-2.9997279644,3.5505819321
137.436861515,-2.9997303486,3.5496542454
138.4369182587,-2.9997363091,3.5487277508
139.4369754791,-2.9997293949,3.5478012562
140.4370326996,-2.9997332096,3.5468587875
141.43708992,-2.999723196,3.5459599495
142.4371471405,-2.9997224808,3.5450263023
143.437204361,-2.9997301102,3.544107914
144.4372615814,-2.9997322559,3.5431964397
145.4373188019,-2.9997389317,3.5423073769
146.4373760223,-2.999727726,3.5414025784
147.4374332428,-2.9997324944,3.5405006409
148.4374904633,-2.9997501373,3.5396099091
149.4375476837,-2.9997344017,3.5386955738
150.4366044998,-2.9997317791,3.5378062725
151.4366621971,-2.9997360706,3.5369305611
152.4367189407,-2.999730587,3.5360441208
153.436776638,-2.9997508526,3.535150528
154.4368333817,-2.9997267723,3.5342609882
155.4368910789,-2.9997413158,3.5333793163
156.4369478226,-2.9997467995,3.5325000286
157.4370055199,-2.9997425079,3.5316162109
158.4370622635,-2.9997360706,3.5307581425
159.4371194839,-2.9997575283,3.5298807621
160.4371767044,-2.9997322559,3.5290062428
161.4372339249,-2.9997475147,3.52815485
162.4372906685,-2.9997260571,3.5272958279
163.4373483658,-2.9997470379,3.5264310837
164.4374051094,-2.9997637272,3.525562048
165.4374628067,-2.9997427464,3.524708271
166.4375195503,-2.9997341633,3.5238685608
167.4365773201,-2.9997403622,3.5230209827
168.4366340637,-2.9997377396,3.5221786499
169.436691761,-2.9997336864,3.5213508606
170.4367485046,-2.9997262955,3.5205099583
171.4368062019,-2.9997315407,3.5196659565
172.4368629456,-2.9997267723,3.5188269615
173.4369206429,-2.9997253418,3.5180056095
174.4369773865,-2.9997398853,3.5171718597
175.4370350838,-2.9997210503,3.5163590908
176.4370918274,-2.9997384548,3.5155234337
177.4371495247,-2.9997344017,3.5147047043
178.4372062683,-2.9997224808,3.5138761997
179.4372634888,-2.9997417927,3.5130774975
180.4373207092,-2.9997417927,3.5122556686
181.4373779297,-2.9997150898,3.5114285946
182.4374346733,-2.9997227192,3.5106184483
183.4374923706,-2.9997398853,3.5097892284
184.4375491142,-2.9997291565,3.5089755058
185.4366064072,-2.9997391701,3.5081851482
186.4366636276,-2.9997498989,3.5073795319
187.4367208481,-2.999727726,3.5065941811
188.4367780685,-2.9997344017,3.50578022
