Time (s),Current (A),Voltage(V)
0.426024437,-2.9996333122,3.8421330452
1.4260816574,-2.9996218681,3.8129036427
2.4261388779,-2.9996294975,3.7984776497
3.4261960983,-2.9996626377,3.7877087593
4.4262533188,-2.9996905327,3.7787733078
5.4263105392,-2.9996733665,3.7709794044
6.4263672829,-2.9996953011,3.7639663219
7.4254245758,-2.9997029305,3.7575237751
8.4254817963,-2.9997031689,3.751529932
9.4255390167,-2.9997057915,3.7459270954
10.4255962372,-2.9997067451,3.7406167984
11.4256534576,-2.9997019768,3.7355883121
12.4257106781,-2.9997029305,3.7307856083
13.4257678986,-2.9996950626,3.7261939049
14.425825119,-2.9997138977,3.7217962742
15.4258823395,-2.999723196,3.7175672054
16.4259395599,-2.9997267723,3.7135100365
17.4259967804,-2.9997193813,3.7095477581
18.4260540009,-2.9997127056,3.7057507038
19.4261112213,-2.9997286797,3.7020795345
20.4261684418,-2.9997127056,3.6985328197
21.4262256622,-2.9997150898,3.6950647831
22.4262828827,-2.9997155666,3.6917104721
23.4263401031,-2.9997279644,3.688454628
24.4263973236,-2.999723196,3.6852841377
25.4254541397,-2.9997236729,3.6821846962
26.4255113602,-2.9997293949,3.6791622639
27.4255685806,-2.9997336864,3.6762266159
28.4256258011,-2.9997310638,3.6733734608
29.4256830215,-2.9997348785,3.6705694199
30.425740242,-2.9997377396,3.6678402424
31.4257974625,-2.9997241497,3.6651456356
32.4258546829,-2.999733448,3.6625010967
33.4259119034,-2.999751091,3.6599123478
34.4259691238,-2.999727726,3.6573932171
35.4260263443,-2.9997270107,3.654907465
36.4260835648,-2.9997546673,3.6524701118
37.4261407852,-2.9997389317,3.6500833035
38.4261980057,-2.9997179508,3.6477484703
39.4262552261,-2.9997439384,3.6453969479
40.4263124466,-2.9997317791,3.6431241035
41.4263696671,-2.9997377396,3.6408698559
42.4254264832,-2.9997291565,3.6386585236
43.4254837036,-2.9997291565,3.636484623
44.4255409241,-2.9997050762,3.6343359947
45.4255981445,-2.9997437,3.6322090626
46.425655365,-2.9997241497,3.6301121712
47.4257125854,-2.9997274876,3.6280527115
48.4257698059,-2.9997193813,3.6259944439
49.4258270264,-2.999723196,3.6239926815
50.4258842468,-2.9997344017,3.6219933033
51.4259414673,-2.9997348785,3.6200327873
52.4259986877,-2.9997282028,3.6180825233
53.4260559082,-2.9997172356,3.6161711216
54.4261131287,-2.9997262955,3.614269495
55.4261703491,-2.9997143745,3.6124010086
56.4262275696,-2.9997382164,3.610530138
57.42628479,-2.9997184277,3.608694315
58.4263420105,-2.9997177124,3.6068682671
59.426399231,-2.9997358322,3.6050930023
60.4254565239,-2.9997363091,3.6033010483
61.4255132675,-2.9997096062,3.6015677452
62.425570488,-2.9997246265,3.5998179913
63.4256277084,-2.9997375011,3.5981173515
64.4256849289,-2.9997336864,3.5964269638
65.4257421494,-2.9997177124,3.5947422981
66.4257993698,-2.9997212887,3.5930790901
67.4258561134,-2.9997551441,3.5914494991
68.4259138107,-2.9997251034,3.5898225307
69.4259705544,-2.9997425079,3.5882358551
70.4260282516,-2.9997165203,3.586656332
71.4260849953,-2.9997143745,3.5850775242
72.4261426926,-2.9997105598,3.5835397243
73.4261994362,-2.9997177124,3.5820095539
74.4262571335,-2.999723196,3.5805001259
75.4263138771,-2.9997336864,3.5790309906
76.4263715744,-2.9997377396,3.577532053
77.4254283905,-2.999733448,3.5760760307
78.4254860878,-2.9997441769,3.5746378899
79.4255428314,-2.999724865,3.5731921196
80.4256005287,-2.9997208118,3.5717692375
81.4256572723,-2.9997279644,3.5703663826
82.4257144928,-2.9997336864,3.5689954758
83.4257717133,-2.9997324944,3.5676248074
84.4258289337,-2.9997406006,3.5662608147
85.4258856773,-2.9997537136,3.5649058819
86.4259433746,-2.9997460842,3.5635886192
87.4260001183,-2.9997456074,3.5622820854
88.4260578156,-2.9997355938,3.560972929
89.4261145592,-2.9997296333,3.5596597195
90.4261722565,-2.9997506142,3.558385849
91.4262290001,-2.9997413158,3.5571217537
92.4262866974,-2.9997632504,3.5558547974
93.426343441,-2.9997589588,3.5546097755
94.4264011383,-2.9997701645,3.5533618927
95.4254579544,-2.9997570515,3.5521337986
96.4255151749,-2.9997444153,3.5509102345
97.4255723953,-2.9997432232,3.5497117043
98.4256296158,-2.9997460842,3.548507452
99.4256868362,-2.9997513294,3.5473399162
100.4257440567,-2.9997406006,3.546141386
101.4258012772,-2.9997413158,3.544968605
102.4258584976,-2.9997689724,3.5438227654
103.4259157181,-2.9997465611,3.5426609516
104.4259729385,-2.9997389317,3.5415110588
105.4260296822,-2.9997498989,3.5403761864
106.4260869026,-2.9997465611,3.5392532349
107.4261441231,-2.9997458458,3.5381166935
108.4262013435,-2.999745369,3.5370001793
109.426258564,-2.9997413158,3.5359015465
110.4263157845,-2.9997439384,3.5348014832
111.4263730049,-2.9997420311,3.533708334
112.4254302979,-2.9997439384,3.5326058865
113.4254875183,-2.9997618198,3.5315282345
114.4255447388,-2.999751091,3.5304527283
115.4256019592,-2.9997200966,3.5294036865
116.4256591797,-2.999758482,3.5283381939
117.4257164001,-2.9997413158,3.5272946358
118.4257736206,-2.9997425079,3.5262241364
119.4258308411,-2.9997529984,3.5251913071
120.4258880615,-2.9997332096,3.5241544247
121.425945282,-2.9997370243,3.5231130123
122.4260025024,-2.9997675419,3.5220782757
123.4260597229,-2.9997415543,3.5210559368
124.4261169434,-2.9997310638,3.5200321674
125.426173687,-2.9997475147,3.5190143585
126.4262309074,-2.9997534752,3.5180101395
127.4262881279,-2.9997732639,3.5170080662
128.4263453484,-2.9997444153,3.5160009861
129.4264025688,-2.9997415543,3.5150029659
130.4254598618,-2.999765873,3.5139980316
131.4255170822,-2.9997625351,3.5129947662
132.4255743027,-2.9997563362,3.5120112896
133.4256315231,-2.9997580051,3.5110368729
134.4256887436,-2.9997646809,3.5100519657
135.4257459641,-2.9997651577,3.5090723038
136.4258031845,-2.9997620583,3.5081050396
137.425860405,-2.9997479916,3.5071303844
138.4259176254,-2.9997787476,3.5061941147
139.4259748459,-2.9997603893,3.5052263737
140.4260320663,-2.9997534752,3.5042748451
141.4260892868,-2.999778986,3.5033142567
142.4261465073,-2.9997739792,3.502368927
143.4262037277,-2.9997665882,3.5014278889
144.4262609482,-2.9997553825,3.5004730225
145.4263176918,-2.9997596741,3.4995326996
146.4263749123,-2.9997661114,3.4986042976
147.4254322052,-2.9997766018,3.4976570606
148.4254894257,-2.9997618198,3.4967415333
149.4255466461,-2.9997577667,3.495806694
150.4256038666,-2.999753952,3.494893074
151.425661087,-2.9997770786,3.4939596653
152.4257183075,-2.9997677803,3.4930474758
153.425775528,-2.999758482,3.4921290874
154.4258327484,-2.9997758865,3.4912314415
155.4258899689,-2.9997799397,3.4903254509
156.4259471893,-2.9997596741,3.4894192219
157.4260044098,-2.9997522831,3.4885129929
158.4260616302,-2.999778986,3.4876194
159.4261188507,-2.9997775555,3.4867134094
160.4261760712,-2.999765873,3.4858179092
161.4262332916,-2.9997820854,3.4849281311
162.4262905121,-2.9997758865,3.4840528965
163.4263477325,-2.9997742176,3.4831659794
164.4264044762,-2.9997830391,3.4822697639
165.4254617691,-2.9997780323,3.4813997746
166.4255189896,-2.9997615814,3.4805042744
167.42557621,-2.9997794628,3.4796257019
168.4256334305,-2.9997868538,3.4787449837
169.4256906509,-2.999778986,3.4778838158
170.4257478714,-2.9997625351,3.4770097733
171.4258050919,-2.9997608662,3.4761617184
172.4258623123,-2.999776125,3.4753007889
173.4259195328,-2.9997725487,3.4744651318
174.4259767532,-2.9997601509,3.4735925198
175.4260339737,-2.9997637272,3.4727420807
176.4260911942,-2.999768734,3.4718906879
177.4261484146,-2.9997603893,3.4710221291
178.4262056351,-2.9997665882,3.4701859951
179.4262628555,-2.999768734,3.4693419933
180.426320076,-2.9997498989,3.4684989452
181.4263772964,-2.9997742176,3.4676537514
182.4254341125,-2.9997656345,3.4668147564
183.425491333,-2.999758482,3.4659895897
184.4255480766,-2.9997591972,3.4651334286
185.4256057739,-2.9997410774,3.4643309116
186.4256625175,-2.9997742176,3.4635038376
187.4257202148,-2.99974823,3.4626719952
188.4257769585,-2.9997520447,3.4618382454
189.4258346558,-2.9997591972,3.4610247612
190.4258913994,-2.9997680187,3.4601881504
191.4259490967,-2.9997735023,3.4593844414
192.4260058403,-2.9997472763,3.45855546
193.4260635376,-2.9997727871,3.4577536583
194.4261202812,-2.9997675419,3.4569547176
195.4261779785,-2.9997525215,3.4561262131
196.4262347221,-2.999771595,3.4553165436
197.4262924194,-2.9997601509,3.4545340538
