Time (s),Current (A),Voltage(V)
0.4230241776,-2.9996302128,3.8588340282
1.4220809937,-2.9996392727,3.833776474
2.4221382141,-2.9996442795,3.8209223747
3.4221954346,-2.9996540546,3.8112738132
4.422252655,-2.9996609688,3.8032603264
5.4223098755,-2.9996840954,3.7962369919
6.4223670959,-2.99969244,3.7898757458
7.4224243164,-2.9997222424,3.7840104103
8.4224815369,-2.9997138977,3.7785294056
9.4225387573,-2.9997112751,3.7733757496
10.4225959778,-2.9996857643,3.7684929371
11.4226531982,-2.9996988773,3.7638494968
12.4227104187,-2.9997117519,3.7594015598
13.4227676392,-2.9997036457,3.7551608086
14.4228248596,-2.9997122288,3.7510635853
15.4228820801,-2.9997193813,3.7471058369
16.4229388237,-2.9997160435,3.7433159351
17.4229960442,-2.9997155666,3.7396430969
18.4230532646,-2.9997208118,3.736092329
19.4221105576,-2.9997003078,3.7326490879
20.422167778,-2.9997186661,3.7293021679
21.4222249985,-2.9997081757,3.7260782719
22.4222822189,-2.9997105598,3.7229382992
23.4223394394,-2.9996995926,3.7199122906
24.4223966599,-2.9997141361,3.7169542313
25.4224538803,-2.9997224808,3.7140469551
26.4225111008,-2.9997169971,3.7112419605
27.4225683212,-2.9997105598,3.7084927559
28.4226255417,-2.9997205734,3.7058019638
29.4226827621,-2.9997179508,3.7031619549
30.4227399826,-2.9997084141,3.7005946636
31.4227972031,-2.9997293949,3.698081255
32.4228544235,-2.9997236729,3.6956021786
33.422911644,-2.9997193813,3.6931774616
34.4229688644,-2.9997022152,3.6907746792
35.4230260849,-2.9997084141,3.6884284019
36.422082901,-2.9996993542,3.6861023903
37.4221401215,-2.9997103214,3.6838104725
38.4221973419,-2.9997105598,3.6815462112
39.4222545624,-2.9997088909,3.679325819
40.4223117828,-2.9996926785,3.6771104336
41.4223690033,-2.9996981621,3.6749434471
42.4224262238,-2.9997048378,3.672809124
43.4224834442,-2.9997110367,3.6706850529
44.4225406647,-2.9996893406,3.6685841084
45.4225978851,-2.9996991158,3.6665203571
46.4226551056,-2.9996995926,3.6644308567
47.422712326,-2.9997160435,3.6624202728
48.4227695465,-2.9996972084,3.6604137421
49.422826767,-2.9997124672,3.6583998203
50.4228839874,-2.9996945858,3.6564459801
51.4229412079,-2.9997017384,3.6544961929
52.4229984283,-2.9997179508,3.652556181
53.4230556488,-2.9997060299,3.650642395
54.4221124649,-2.9997303486,3.6487209797
55.4221696854,-2.9997031689,3.6468462944
56.4222269058,-2.9997050762,3.6449995041
57.4222841263,-2.9997262955,3.6431543827
58.4223413467,-2.9997212887,3.6413249969
59.4223985672,-2.9997112751,3.6395287514
60.4224557877,-2.9997246265,3.6377229691
61.4225130081,-2.999730587,3.6359536648
62.4225702286,-2.9997224808,3.6342074871
63.422627449,-2.9997153282,3.6324546337
64.4226846695,-2.9997196198,3.6307344437
65.42274189,-2.9997308254,3.6290483475
66.4227991104,-2.9997141361,3.6273729801
67.4228563309,-2.9997196198,3.6256935596
68.4229135513,-2.9997169971,3.6240282059
69.4229707718,-2.9997181892,3.6223862171
70.4230279922,-2.9997370243,3.6207921505
71.4220852852,-2.999712944,3.6191792488
72.4221420288,-2.9997117519,3.6175897121
73.4221992493,-2.9997220039,3.6160213947
74.4222564697,-2.9996988773,3.6144871712
75.4223136902,-2.9997177124,3.6129522324
76.4223709106,-2.9997167587,3.6114323139
77.4224281311,-2.9997158051,3.6099381447
78.4224853516,-2.9997112751,3.608451128
79.422542572,-2.9997186661,3.6069846153
80.4225997925,-2.9997291565,3.6055481434
81.4226570129,-2.9997279644,3.6041073799
82.4227142334,-2.9997296333,3.6026902199
83.4227714539,-2.9997363091,3.6012918949
84.4228286743,-2.99974823,3.5999009609
85.4228858948,-2.9997484684,3.5985274315
86.4229431152,-2.9997196198,3.5971951485
87.4230003357,-2.9997293949,3.5958635807
