Time (s),Current (A),Voltage(V)
0.4250245094,-2.9995849133,3.810382843
1.4250817299,-2.9996235371,3.7757816315
2.4251389503,-2.9996547699,3.758957386
3.4251961708,-2.9996564388,3.7465105057
4.4252533913,-2.9996674061,3.7362656593
5.4253106117,-2.9996945858,3.7273378372
6.4253678322,-2.9996776581,3.7193362713
7.4254250526,-2.9996876717,3.7120447159
8.4254817963,-2.9997050762,3.7052834034
9.4255390167,-2.9996986389,3.6989610195
10.4255962372,-2.9997138977,3.6930444241
11.4256534576,-2.9997122288,3.6874206066
12.4257106781,-2.9997057915,3.6820716858
13.4257678986,-2.9997279644,3.6769797802
14.425825119,-2.9997236729,3.6721212864
15.4248819351,-2.9997255802,3.6674685478
16.4249396324,-2.999733448,3.6629781723
17.424996376,-2.9997196198,3.6586592197
18.4250540733,-2.9997239113,3.6545033455
19.425110817,-2.9997150898,3.6504657269
20.4251685143,-2.9997262955,3.6465587616
21.4252252579,-2.9997186661,3.6427760124
22.4252829552,-2.9997437,3.6391062737
23.4253396988,-2.9997415543,3.6355383396
24.4253973961,-2.9997355938,3.6320505142
25.4254541397,-2.9997470379,3.628657341
26.425511837,-2.9997415543,3.6253390312
27.4255685806,-2.9997329712,3.6220960617
28.4256258011,-2.9997186661,3.6189360619
29.4256830215,-2.9997181892,3.6158380508
30.425740242,-2.9997432232,3.6128201485
31.4257974625,-2.9997513294,3.6098253727
32.4258546829,-2.9997365475,3.6069023609
33.424911499,-2.9997127056,3.6040356159
34.4249687195,-2.9997346401,3.6012029648
35.4250259399,-2.9997158051,3.598439455
36.4250831604,-2.9997432232,3.5957093239
37.4251403809,-2.9997341633,3.5930211544
38.4251976013,-2.999712944,3.5903892517
39.4252548218,-2.9997239113,3.5877740383
40.4253120422,-2.9997267723,3.5852034092
41.4253692627,-2.9997375011,3.5826821327
42.4254264832,-2.9997446537,3.580163002
43.4254837036,-2.9997186661,3.5777111053
44.4255409241,-2.9997105598,3.5752744675
45.4255981445,-2.9997127056,3.572893858
46.425655365,-2.9997115135,3.5705132484
47.4257125854,-2.9997086525,3.5681788921
48.4257698059,-2.9997210503,3.5658659935
49.4258270264,-2.999712944,3.5635826588
50.4248838425,-2.9997122288,3.5613648891
51.4249410629,-2.9997062683,3.5591216087
52.4249982834,-2.9997055531,3.5569310188
53.4250555038,-2.9997041225,3.5547807217
54.4251127243,-2.9997007847,3.5526332855
55.4251699448,-2.999710083,3.5505173206
56.4252271652,-2.9996898174,3.5484392643
57.4252843857,-2.9997081757,3.5463807583
58.4253416061,-2.9997289181,3.5443513393
59.4253988266,-2.9997172356,3.5423743725
60.4254560471,-2.9997332096,3.5403704643
61.4255132675,-2.9997308254,3.5384044647
62.425570488,-2.9997282028,3.5364711285
63.4256277084,-2.9997127056,3.5345537663
64.4256849289,-2.9997150898,3.5326786041
65.4257421494,-2.9997212887,3.5308001041
66.4257993698,-2.9997086525,3.5289661884
67.4258565903,-2.9997193813,3.5271499157
68.4249134064,-2.9997158051,3.525336504
69.4249706268,-2.9997172356,3.5235676765
70.4250278473,-2.9997270107,3.5217990875
71.4250850677,-2.9997191429,3.5200736523
72.4251422882,-2.9997279644,3.5183343887
73.4251995087,-2.9997301102,3.5166265965
74.4252567291,-2.9997358322,3.5149548054
75.4253139496,-2.9997315407,3.5132877827
76.42537117,-2.9997663498,3.5116128922
77.4254283905,-2.9997413158,3.5099952221
78.425485611,-2.9997618198,3.5083730221
79.4255428314,-2.9997537136,3.5067658424
80.4256000519,-2.9997529984,3.5052015781
81.4256572723,-2.9997417927,3.5036120415
82.4257144928,-2.9997389317,3.5020639896
83.4257717133,-2.9997332096,3.5005276203
84.4258289337,-2.9997437,3.4990060329
85.4248862267,-2.9997472763,3.4974853992
86.4249434471,-2.99974823,3.4959845543
87.4250006676,-2.9997494221,3.4945037365
88.4250574112,-2.9997413158,3.4930398464
89.4251146317,-2.9997634888,3.4915828705
90.4251718521,-2.9997491837,3.4901361465
91.4252290726,-2.9997487068,3.4887022972
92.425286293,-2.9997425079,3.4872796535
93.4253435135,-2.9997615814,3.4858899117
94.4254007339,-2.9997391701,3.4844818115
95.4254579544,-2.9997301102,3.4830942154
96.4255151749,-2.9997410774,3.4817156792
97.4255723953,-2.9997346401,3.4803347588
98.4256296158,-2.999733448,3.4789917469
99.4256868362,-2.9997348785,3.4776568413
100.4257440567,-2.999755621,3.4763059616
101.4258012772,-2.9997515678,3.4749913216
102.4258584976,-2.9997570515,3.4736759663
103.4249157906,-2.999753952,3.4723610878
104.424973011,-2.9997529984,3.4710757732
105.4250302315,-2.9997501373,3.4697861671
106.4250874519,-2.9997317791,3.4685132504
107.4251441956,-2.9997274876,3.4672315121
108.425201416,-2.9997560978,3.4659488201
109.4252586365,-2.9997396469,3.4646945
110.4253158569,-2.9997413158,3.4634590149
111.4253730774,-2.9997563362,3.4622092247
112.4254302979,-2.9997484684,3.4609932899
113.4254875183,-2.9997303486,3.4597578049
114.4255447388,-2.9997262955,3.4585387707
115.4256019592,-2.9997601509,3.4573254585
116.4256591797,-2.9997391701,3.4561355114
117.4257164001,-2.9997551441,3.4549462795
118.4257736206,-2.9997432232,3.4537389278
119.4258308411,-2.9997484684,3.4525594711
120.424888134,-2.9997432232,3.4513885975
121.4249453545,-2.9997472763,3.450214386
122.4250025749,-2.999751091,3.449044466
123.4250597954,-2.9997491837,3.4479017258
124.4251170158,-2.9997527599,3.4467558861
125.4251742363,-2.9997417927,3.4456019402
126.4252314568,-2.9997467995,3.4444718361
127.4252882004,-2.9997396469,3.4433460236
128.4253454208,-2.9997498989,3.4422299862
129.4254026413,-2.9997570515,3.4411199093
130.4254598618,-2.9997630119,3.4400043488
131.4255170822,-2.9997506142,3.4389095306
132.4255743027,-2.99974823,3.4377965927
133.4256315231,-2.9997491837,3.4367177486
134.4256887436,-2.9997451305,3.4356355667
135.4257459641,-2.9997506142,3.434551239
136.4258031845,-2.9997506142,3.4334840775
137.425860405,-2.9997494221,3.432403326
138.4249172211,-2.9997484684,3.4313390255
139.4249749184,-2.9997537136,3.4302845001
140.425031662,-2.9997472763,3.4292266369
141.4250893593,-2.9997506142,3.4281711578
142.4251461029,-2.9997551441,3.4271264076
143.4252038002,-2.9997484684,3.42608881
144.4252605438,-2.9997375011,3.4250645638
145.4253182411,-2.9997513294,3.4240553379
146.4253749847,-2.9997417927,3.4230251312
147.4254322052,-2.9997699261,3.4219932556
148.4254894257,-2.9997451305,3.4210059643
149.4255466461,-2.9997470379,3.419983387
150.4256038666,-2.9997551441,3.4189867973
151.425661087,-2.9997527599,3.4179964066
152.4257178307,-2.999758482,3.4169938564
153.425775528,-2.9997611046,3.416021347
154.4258322716,-2.9997570515,3.4150252342
155.4248895645,-2.999758482,3.4140474796
