Time (s),Current (A),Voltage(V)
0.4240245819,-2.9996085167,3.8628158569
1.4240813255,-2.9996140003,3.8377649784
2.4241390228,-2.9996278286,3.8249566555
3.4241957664,-2.9996356964,3.8153572083
4.4242534637,-2.9996612072,3.8073906898
5.4243102074,-2.999671936,3.800409317
6.4233675003,-2.9996945858,3.7940957546
7.4234247208,-2.9996802807,3.7882812023
8.4234814644,-2.9996790886,3.7828388214
9.4235386848,-2.9996836185,3.7777235508
10.4235959053,-2.9996852875,3.7728669643
11.4236531258,-2.9996831417,3.7682666779
12.4237103462,-2.9996910095,3.7638640404
13.4237675667,-2.99969244,3.7596189976
14.4238247871,-2.9997105598,3.7555558681
15.4238820076,-2.9997007847,3.7516379356
16.4239392281,-2.9997160435,3.7478570938
17.4239964485,-2.9996962547,3.7442247868
18.424053669,-2.9997224808,3.7406849861
19.4241108894,-2.9997138977,3.7372648716
20.4241681099,-2.9997060299,3.733946085
21.4242253304,-2.9997386932,3.7307212353
22.4242825508,-2.999714613,3.7276041508
23.4233398438,-2.9997081757,3.7245790958
24.4233970642,-2.9997222424,3.7216157913
25.4234542847,-2.9997169971,3.7187492847
26.4235115051,-2.9997191429,3.7159371376
27.4235687256,-2.9997270107,3.7132115364
28.4236254692,-2.9997186661,3.7105307579
29.4236826897,-2.9997239113,3.7079322338
30.4237399101,-2.9997308254,3.7053608894
31.4237971306,-2.9997458458,3.7028515339
32.423854351,-2.9997317791,3.7003843784
33.4239115715,-2.9997155666,3.697961092
34.423968792,-2.9997291565,3.6955759525
35.4240260124,-2.9997348785,3.6932322979
36.4240832329,-2.9997255802,3.6909160614
37.4241404533,-2.9997255802,3.6886451244
38.4241976738,-2.9997193813,3.6864078045
39.4242548943,-2.9997384548,3.6841850281
40.4243121147,-2.9997112751,3.6819968224
41.4233694077,-2.9997262955,3.6798377037
42.4234266281,-2.9997193813,3.6776995659
43.4234838486,-2.9997289181,3.6755709648
44.423541069,-2.9997200966,3.6735126972
45.4235982895,-2.999707222,3.6714265347
46.4236555099,-2.9997274876,3.6693916321
47.4237127304,-2.9997084141,3.6673541069
48.423769474,-2.999714613,3.665346384
49.4238266945,-2.9997165203,3.663356781
50.4238839149,-2.9997096062,3.6614019871
51.4239411354,-2.9997224808,3.659460783
52.4239983559,-2.9997055531,3.6575086117
53.4240555763,-2.9997143745,3.6556036472
54.4241127968,-2.9997220039,3.6537082195
55.4241700172,-2.9997084141,3.6518416405
56.4242272377,-2.9997136593,3.6499800682
57.4242844582,-2.9997034073,3.6481485367
58.4233417511,-2.9996869564,3.6463153362
59.4233989716,-2.9997055531,3.6444978714
60.423456192,-2.9997074604,3.6427147388
61.4235134125,-2.9997215271,3.6409211159
62.4235706329,-2.9997265339,3.6391685009
63.4236278534,-2.9997193813,3.6374483109
64.4236850739,-2.9997193813,3.6357293129
65.4237422943,-2.9997169971,3.6340074539
66.4237995148,-2.9997138977,3.6323359013
67.4238567352,-2.9997274876,3.6306529045
68.4239134789,-2.9997303486,3.6290025711
69.4239706993,-2.9997165203,3.6273722649
70.4240279198,-2.9997193813,3.6257543564
71.4240851402,-2.9997210503,3.6241316795
72.4241423607,-2.9997167587,3.6225636005
73.4241995811,-2.9997208118,3.6209862232
74.4242568016,-2.9997179508,3.619407177
75.4243140221,-2.9997112751,3.6178715229
76.423371315,-2.9997260571,3.6163709164
77.4234285355,-2.999712944,3.6148555279
78.4234857559,-2.9997127056,3.6133561134
79.4235429764,-2.9997224808,3.6118745804
80.4236001968,-2.9997136593,3.6104369164
81.4236574173,-2.9997317791,3.6089839935
82.4237146378,-2.9997227192,3.6075766087
83.4237718582,-2.999730587,3.6061468124
84.4238290787,-2.9997074604,3.6047787666
85.4238862991,-2.9997251034,3.6033811569
86.4239435196,-2.9997210503,3.6020243168
87.4240002632,-2.9997265339,3.6006839275
88.4240574837,-2.9997296333,3.5993719101
89.4241147041,-2.9997265339,3.5980529785
90.4241719246,-2.9997444153,3.596765995
91.4242291451,-2.9997363091,3.5954656601
92.4242863655,-2.9997403622,3.5941910744
93.4233436584,-2.9997262955,3.5929515362
94.4234004021,-2.9997344017,3.5917012691
95.4234580994,-2.9997270107,3.590457201
96.423514843,-2.9997253418,3.589258194
97.4235725403,-2.9997446537,3.5880606174
98.4236292839,-2.9997401237,3.5868906975
99.4236869812,-2.9997389317,3.585694313
100.4237437248,-2.999724865,3.584518671
101.4238014221,-2.9997186661,3.5833714008
102.4238581657,-2.9997289181,3.5822269917
103.423915863,-2.9997212887,3.5810909271
104.4239726067,-2.9997267723,3.5799732208
105.424030304,-2.9997251034,3.5788509846
106.4240870476,-2.9997110367,3.5777363777
107.424144268,-2.9997344017,3.5766489506
108.4242014885,-2.9997322559,3.5755739212
109.424258709,-2.9997172356,3.5745019913
110.4243159294,-2.9997239113,3.5734217167
111.4233732224,-2.9997282028,3.5723774433
112.423429966,-2.9997088909,3.5713157654
113.4234876633,-2.9997222424,3.5702776909
114.4235444069,-2.9997293949,3.569234848
115.4236021042,-2.9997255802,3.5681920052
116.4236588478,-2.9997191429,3.5671775341
117.4237165451,-2.9997181892,3.5661590099
118.4237732887,-2.9997303486,3.5651521683
119.423830986,-2.9997205734,3.564166069
120.4238877296,-2.9997200966,3.5631556511
121.4239454269,-2.9997441769,3.5621535778
122.4240021706,-2.9997365475,3.5611743927
123.4240598679,-2.9997286797,3.5601980686
124.4241166115,-2.9997198582,3.5592124462
125.4241743088,-2.999730587,3.5582375526
126.4242310524,-2.9997241497,3.5572748184
127.4242882729,-2.9997377396,3.5563340187
128.423345089,-2.9997262955,3.5553810596
129.4234023094,-2.9997420311,3.5544104576
130.4234595299,-2.9997291565,3.5534670353
131.4235167503,-2.9997417927,3.5525188446
132.4235739708,-2.9997227192,3.5515768528
133.4236311913,-2.999730587,3.5506370068
134.4236884117,-2.9997274876,3.5497093201
135.4237456322,-2.9997498989,3.5487763882
136.4238028526,-2.9997420311,3.5478641987
137.4238600731,-2.99974823,3.5469510555
138.4239172935,-2.9997262955,3.5460374355
139.423974514,-2.9997289181,3.5451023579
140.4240317345,-2.9997375011,3.544203043
141.4240889549,-2.9997391701,3.543309927
142.4241461754,-2.9997456074,3.5424118042
143.4242033958,-2.9997227192,3.5415115356
144.4242606163,-2.9997386932,3.5406134129
145.4243178368,-2.9997501373,3.5397322178
146.4233751297,-2.9997324944,3.5388438702
147.4234318733,-2.9997227192,3.5379602909
148.4234890938,-2.9997355938,3.5370659828
149.4235463142,-2.9997260571,3.5361788273
150.4236035347,-2.9997165203,3.5353193283
151.4236607552,-2.9997651577,3.5344433784
152.4237179756,-2.9997236729,3.5335781574
153.4237751961,-2.9997425079,3.5327014923
154.4238324165,-2.9997415543,3.5318408012
155.423889637,-2.9997396469,3.5309822559
156.4239468575,-2.9997315407,3.5301179886
157.4240040779,-2.9997386932,3.52926898
158.4240612984,-2.9997484684,3.5284318924
159.4241185188,-2.9997444153,3.5275759697
160.4241757393,-2.9997324944,3.5267190933
161.4242329597,-2.9997296333,3.5258729458
162.4242901802,-2.9997391701,3.5250067711
163.4233474731,-2.9997475147,3.52419734
164.4234046936,-2.9997360706,3.5233535767
165.4234619141,-2.9997336864,3.5225322247
166.4235191345,-2.9997520447,3.5216722488
167.4235758781,-2.9997603893,3.5208716393
168.4236330986,-2.9997401237,3.5200433731
169.4236903191,-2.9997222424,3.5192246437
170.4237475395,-2.9997391701,3.5184230804
171.42380476,-2.9997429848,3.5175890923
172.4238619804,-2.9997296333,3.5167841911
173.4239192009,-2.9997341633,3.5159516335
174.4239764214,-2.9997332096,3.5151512623
175.4240336418,-2.9997498989,3.5143275261
176.4240908623,-2.9997372627,3.5135223866
