Time (s),Current (A),Voltage(V)
0.4340248108,-2.9995884895,3.8648502827
1.4340820313,-2.9996147156,3.8388352394
2.4341392517,-2.9996185303,3.8258736134
3.4341964722,-2.9996571541,3.8161652088
4.4342536926,-2.9996836185,3.8081221581
5.4343109131,-2.9996843338,3.8010716438
6.4343681335,-2.9996740818,3.7947087288
7.434425354,-2.9996826649,3.7888672352
8.4344825745,-2.999694109,3.7834386826
9.4345397949,-2.9996864796,3.7783007622
10.4345970154,-2.9997069836,3.7734544277
11.4346542358,-2.9996979237,3.7688338757
12.4347114563,-2.999704361,3.7644512653
13.4337682724,-2.9997084141,3.7602367401
14.4338254929,-2.9996879101,3.7562036514
15.4338827133,-2.9997005463,3.7522790432
16.4339399338,-2.9996845722,3.748521328
17.4339971542,-2.9996840954,3.7448763847
18.4340543747,-2.9997224808,3.7413704395
19.4341115952,-2.9997110367,3.7379403114
20.4341688156,-2.9997031689,3.7346196175
21.4342260361,-2.999714613,3.731388092
22.4342832565,-2.9997227192,3.7282466888
23.434340477,-2.9997084141,3.7252030373
24.4343976974,-2.9997048378,3.7222416401
25.4344549179,-2.9997141361,3.7193419933
26.4345121384,-2.9997224808,3.7165324688
27.4345693588,-2.9997186661,3.7137668133
28.4346265793,-2.9997212887,3.7110741138
29.4346837997,-2.9997096062,3.7084519863
30.4347410202,-2.9997117519,3.7058720589
31.4337978363,-2.9997019768,3.7033581734
32.4338550568,-2.999735117,3.7008817196
33.4339122772,-2.999733448,3.6984565258
34.4339694977,-2.9997363091,3.6960873604
35.4340267181,-2.999735117,3.6937124729
36.4340839386,-2.9997375011,3.6914224625
37.4341411591,-2.9997155666,3.6891748905
38.4341983795,-2.9997286797,3.6869399548
39.4342556,-2.9997370243,3.6847500801
40.4343128204,-2.9997227192,3.6825861931
41.4343700409,-2.999723196,3.6804423332
42.4344272614,-2.9997293949,3.6783502102
43.4344844818,-2.9997141361,3.6762731075
44.4345417023,-2.9997308254,3.6742141247
45.4345989227,-2.9997279644,3.6722006798
46.4346561432,-2.9997386932,3.6701953411
47.4347133636,-2.999723196,3.6681945324
48.4337701797,-2.9997086525,3.6662425995
49.4338274002,-2.999707222,3.6642980576
50.4338846207,-2.9997181892,3.6623682976
51.4339418411,-2.9997124672,3.6604464054
52.4339990616,-2.9997301102,3.6585736275
53.434056282,-2.9997308254,3.6566977501
54.4341130257,-2.9997241497,3.6548480988
55.434170723,-2.9997270107,3.6529991627
56.4342274666,-2.9997332096,3.6511659622
57.4342851639,-2.9997050762,3.6493690014
58.4343419075,-2.9997131824,3.6475672722
59.4343996048,-2.9997143745,3.6458003521
60.4344563484,-2.9997282028,3.6440315247
61.4345140457,-2.9997251034,3.6422967911
62.4345707893,-2.9997320175,3.6405630112
63.4346284866,-2.9997293949,3.6388216019
64.4346852303,-2.9997396469,3.6371324062
65.4347429276,-2.9997336864,3.6354501247
66.4337997437,-2.9997251034,3.6337912083
67.4338574409,-2.9997301102,3.6321177483
68.4339141846,-2.9997315407,3.6304872036
69.433971405,-2.9997370243,3.6288530827
70.4340286255,-2.9997360706,3.6272573471
71.4340858459,-2.9997320175,3.6256532669
72.4341430664,-2.9997425079,3.6240568161
73.4342002869,-2.9997296333,3.6225013733
74.4342570305,-2.9997260571,3.6209316254
75.4343147278,-2.9997282028,3.6194024086
76.4343714714,-2.9997215271,3.6178793907
77.4344291687,-2.9997479916,3.6163682938
78.4344859123,-2.9997348785,3.6148722172
79.4345436096,-2.9997360706,3.6134016514
80.4346003532,-2.9997186661,3.6119482517
81.4346580505,-2.9997181892,3.6105065346
82.4347147942,-2.9997260571,3.6090865135
83.4337720871,-2.9997210503,3.6076660156
84.4338293076,-2.9997417927,3.6062755585
85.433886528,-2.9997403622,3.6048696041
86.4339437485,-2.9997291565,3.6034896374
87.4340009689,-2.9997375011,3.6021461487
88.4340581894,-2.9997396469,3.6008167267
89.4341154099,-2.9997291565,3.5994770527
90.4341726303,-2.9997446537,3.5981595516
91.4342298508,-2.9997446537,3.5968813896
92.4342865944,-2.9997470379,3.5955817699
93.4343438148,-2.9997541904,3.5943241119
94.4344010353,-2.9997310638,3.5930659771
95.4344582558,-2.9997546673,3.591782093
96.4345154762,-2.9997332096,3.5905656815
97.4345726967,-2.9997446537,3.5893220901
98.4346299171,-2.9997410774,3.58812356
99.4346871376,-2.9997465611,3.5869321823
100.4347443581,-2.9997355938,3.5857348442
101.433801651,-2.9997432232,3.5845639706
102.4338588715,-2.9997441769,3.5833690166
103.4339160919,-2.999724865,3.5822222233
104.4339733124,-2.9997377396,3.5810790062
105.4340305328,-2.9997425079,3.5799365044
106.4340877533,-2.9997467995,3.5787923336
107.4341449738,-2.9997506142,3.5776655674
108.4342021942,-2.9997355938,3.5765454769
109.4342594147,-2.999723196,3.5754413605
110.4343166351,-2.9997158051,3.5743606091
111.4343738556,-2.9997253418,3.5732531548
112.4344305992,-2.999730587,3.5721738338
113.4344878197,-2.9997320175,3.5711009502
114.4345450401,-2.9997220039,3.5700542927
115.4346022606,-2.9997227192,3.5689816475
116.434659481,-2.9997234344,3.5679285526
117.4347167015,-2.9997308254,3.5668845177
118.4337739944,-2.9997310638,3.5658290386
119.4338312149,-2.9997341633,3.5648131371
120.4338884354,-2.9997406006,3.5637738705
121.4339456558,-2.9997208118,3.5627632141
122.4340028763,-2.9997289181,3.5617318153
123.4340600967,-2.9997286797,3.5607178211
124.4341173172,-2.9997437,3.55970788
125.4341745377,-2.9997262955,3.5587189198
126.4342317581,-2.9997255802,3.5577230453
127.4342889786,-2.9997291565,3.5567278862
128.434346199,-2.9997329712,3.5557587147
129.4344034195,-2.9997467995,3.5547711849
130.43446064,-2.9997460842,3.5537981987
131.4345178604,-2.9997413158,3.5528130531
